source,target,timestamp
Holger Magens,Julie Mathilde Magens,2
Mo,r,3
Fader,Frantz,4
Fader,Frantz,4
Fader,Holger,4
Frantz,Mosjø Frantz,5
Frantz,Papas,6
Frantz,Mo’,6
Mo’,lille Mo,6
Erik,Julie Magens,7
Erik,Julie Magens,7
Erik,Julies,7
Erik,Julie,8
Erik,Julie,8
Erik,Erik Glerup,9
D.,Erik,9
D.,p. p.,9
Bedstemoders,Frantz,14
Bedstemo,Frantz,14
Bedstemo,Erik,15
Bjørneklo,Fader,17
Scheik,Suleima,19
Scheik,Scheiken,19
Alfred Mørch,Suleima,20
Frk. Julie Magens,nuitl,24
Julie,Magens,26
Julie,Magens,26
Erik,Julie,27
Emmy,Emmy Lorenzen,31
Albyens,Emmy,31
Alfred Mørch,Emmy,32
Alfred Mørch,Snadrekompagni,32
Alfr,Snadrekompagni,32
Alfr. Mørch,Emmy,34
Don Juan,Emmy,35
Mørch,Suleima,36
Emmy,Gud,37
J. P. Jacobsens,Volmer,39
Tove,Volmer,39
Erik,Julie,44
Erik,Fader,48
Erik,Papa,49
Gud,Papa,49
Ernst Meyer,Gud,49
Erik,Julie,51
Erik,Mørch,57
Mama,Papa,59
Erik,Erik —,63
Erik,Glerup,66
Erik,Gud,70
Erik,partout,71
Alfr. Mørch,Gud,72
Don Juan,Gud,72
Don Juan,Irbe mirbe,72
Erik,M.,74
Erik,M.,74
Emmy,Hr. Mørchs,77
Scheiken,Suleima,86
Mørch,Suleima,86
Erik,Mørch,87
Erik,Mørch,87
Erik rnaatte,Haan,88
Haan,Mørch,88
Anker,Erik,89
Erik,Hr. Mørch,89
Asen,Erik,95
Dronning Dagmar,Erik,96
Christiane,Flun,97
Glerup,Hr. Mørch,107
Christiane,Julie,111
Bjørneklo,Erik,117
Julie,Marie,123
Bedstemo,Bedstemoder,125
Alfr. Mørch,Erik,133
Erik,Mørch,133
Erik,Mørch,133
Erik,Julie,143
Christiane,Papa,145
Emmy,Hansen,173
Emmy,Hansen,173
Emmy,Hansen,176
Applavs,Emmy,180
Emmy,Gud,180
Fader,Julie,190
Christiane,Emmy,194
Adam,Eva,200
Bedstemoder,Marie,206
Flun,Julie,207
Marie,Mørch,208
Julie,Marie,210
Bedstemoder,Marie,211
Flun,Hr. Mørch,214
Adam,Eva,231
Erik,Moder,243
Julie,Moder,244
Emmy,Erik,254
Bedstemoder,bo’,255
Bedstemoder,bo’,255
Bedstemoder,Kobbere,257
Kobbere,Struense,257
Frederik d. 6te,Struense,257
Erik,Julie,266
