Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Graaulven,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kaar,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.03
Frederik,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.02,0.05
Jens Børgesen,0,0,0,0,5,0.1,6,0.03,5,0.1,0.07,0.16,0.05,0.13
Marie Hansdatter,0,0,0,0,1,0.0,2,0.01,1,0.0,0.01,0.02,0.0,0.0
Børge Jensen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.0,0.0
Else,0,0,0,0,16,0.37,36,0.24,16,0.37,0.23,0.51,0.05,0.13
Svend Børgesen,0,0,0,0,12,0.27,15,0.1,12,0.27,0.18,0.4,0.06,0.16
Else Børges,0,0,0,0,2,0.02,2,0.01,2,0.02,0.04,0.09,0.0,0.0
Svend,0,0,0,0,42,1.0,145,1.0,42,1.0,0.45,1.0,0.38,1.0
Karlen,0,0,0,0,5,0.1,6,0.03,5,0.1,0.07,0.16,0.0,0.0
Niels Bendtsen,0,0,0,0,15,0.34,36,0.24,15,0.34,0.2,0.44,0.05,0.13
Niels,0,0,0,0,9,0.2,15,0.1,9,0.2,0.15,0.33,0.01,0.03
Anine,0,0,0,0,25,0.59,107,0.74,25,0.59,0.33,0.73,0.12,0.32
Boline,0,0,0,0,10,0.22,15,0.1,10,0.22,0.09,0.2,0.05,0.13
Valborgs,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.0,0.0
Farmor,0,0,0,0,5,0.1,7,0.04,5,0.1,0.05,0.11,0.04,0.11
Peder Paars,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fogdens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
rinde,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Barbara,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Erkebisp Absalon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Karle,0,0,0,0,3,0.05,3,0.01,3,0.05,0.05,0.11,0.01,0.03
Grabber,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Sandbjærge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jesu,0,0,0,0,4,0.07,4,0.02,4,0.07,0.1,0.22,0.0,0.0
Stjern,0,0,0,0,5,0.1,12,0.08,5,0.1,0.07,0.16,0.01,0.03
Holzer,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Maanelys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Mariane,0,0,0,0,13,0.29,37,0.25,13,0.29,0.23,0.51,0.02,0.05
Troels,0,0,0,0,9,0.2,50,0.34,9,0.2,0.19,0.42,0.01,0.03
nyssens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
