source,target,timestamp
Pythias,Stendahl,3
Pythias,Sancho Pansa,3
Don Quixote,Sancho Pansa,3
Brasks,Don Quixote,3
Brasks,Stendahl,3
Brask,lians,4
Rit mester Stendahl,Uhrs,6
Stendahl,Uhrs,6
Ritmester Stendahl,Rosenfeldt,7
Rosenfeldt,Stendahl,9
Fritz,Rosen-feldt,13
August,Fritz,13
August,Stendahl,13
Hansted,Rosenfeldt,15
Hansted,Stendahl,16
Brask,Sten-dahl,19
Brask,Ritmesterens,19
Brask,Stendahl,20
Brask,Stendahl,20
Brask,Stendahl,21
Brask,Stendahl,23
Brask,Jenny,23
.Stendalils,Jenny,23
.Stendalils,Jenny,23
Jenny,Stendahl,23
Stendahl,lians,23
A. Fritz,Stendahl,24
Fritz,liam,27
Stendahl.s,liam,27
Stendahl.s,lian,27
Fritz,Hei-,35
Hei-,Stendahl,35
Fritz,Stendahl,35
Eieren,Rasmus Block,36
Andreas,Rasmus Block,36
Andreas,Rasmus Block,36
Andreas Block,Rasmus Block,36
Andreas Block,Ritmester Stendahl,36
Brask,Ritmester Stendahl,36
Berider Palstrup,Fritz,37
Berider Palstrup,Fritz,37
Brask,Fritz,37
Brask,Mongol,37
Brask,ermaaskeHr,41
Palstrups,Ritmesterens,44
Brask,Fritz,46
Fritz,Servanten,48
Servanten,lian,48
Fritz,s,49
Fritz,Harald Vissing,51
Harald Vissing,Vissing,51
Fritz,Vissing,51
Hegner,Vissing,52
Fritz,Hegner,52
Fritz,Lind,52
Lind,Sel-berg,52
Fritz,Hegner,53
Fritz,Hegner,53
Hegner,Vissing,53
Fritz,s,54
Ritmester Stendahl,s,54
Hegner,Ritmester Stendahl,54
Hegner,Stendahl,54
Fritz,Stendahl,54
Fritz,guerre,54
Fritz,guerre,54
Ella,Hegner,55
Fritz,Fritz allehaande,63
Fritz’,s,65
Ritmester Stendahl,lian,67
Fritz,lian,67
Fritz,Konsul Blocks,67
Brask,Konsul Blocks,67
Brask,Stendahl,68
Hardtz,Ritmester Stendahl,69
Fritz,Hardtz,69
Fritz,Jenny,69
Hardtz,Jenny,69
Berider Palstrup,Hardtz,69
Berider Palstrup,Fritz,69
Fritz,Palstrup,69
Lars Christoffersen,ovei-,71
Lars Christoffersen,Palstrup,71
Fritz,Hardtz,72
Jenny,Stendahl,73
Fritz,Stendahl,73
Fritz,Stendahl,74
Fritz,s,75
Hardtz,s,75
Hardtz,Jenny,75
Jenny,Stendahl,75
Hardtz,Stendahl,75
Hardtz,Jenny,75
Fritz,Jenny,75
Fritz,s,75
len,s,75
Fritz,Stendahl,78
Fritz,li vad,78
Lieutenant Hardtz,li vad,78
Lieutenant Hardtz,Odin,78
Odin,Selberg,80
Hardtz,Selberg,80
Hardtz,hanselv,80
Fritz,Henner,81
Fritz,Jenny,82
Jenny,Odin,82
Odin,Rallike,82
Hegner,Rallike,82
Fritz,Petra,83
Brask,Fritz,84
Brask,Fritz,84
Brask,Fritz,84
Fritz,Moses,88
Moses,Muhamed,88
Fritz,Petra,97
Fritz,kim,99
Fritz,kim,99
Fritz,Petra,99
Fritz,Fritz Hue,100
Fritz Hue,Ritmester Stendahl,100
Fritz,Ritmester Stendahl,100
Fritz,Stendahl,101
Fritz,s,102
Stendahl,s,102
Hardtz,Stendahl,102
Bjørn,Hardtz,102
Bjørn,Stendahl,102
Hardtz,Stendahl,102
Fritz,Hegner,103
Fritz,Stendahl,103
Brask,Stendahl,103
Brask,Jenny,103
Jenny,Petra,103
Brask,Stendahl,104
Brask,høie,104
Fritz,Stendahlhøitideligt,106
Jenny,Stendahl,112
Brask,Konsul Blocks,113
