Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Pythias,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.01,0.02
Stendahl,0,0,0,0,40,0.57,126,0.5,40,0.57,0.31,0.69,0.22,0.49
Sancho Pansa,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Don Quixote,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Brasks,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.01,0.02
Brask,0,0,0,0,16,0.22,41,0.16,16,0.22,0.14,0.31,0.07,0.16
lians,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
Rit mester Stendahl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Uhrs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.01,0.02
Ritmester Stendahl,0,0,0,0,12,0.16,20,0.08,12,0.16,0.15,0.33,0.05,0.11
Rosenfeldt,0,0,0,0,15,0.2,29,0.11,15,0.2,0.18,0.4,0.03,0.07
Fritz,0,0,0,0,70,1.0,252,1.0,70,1.0,0.45,1.0,0.45,1.0
Rosen-feldt,0,0,0,0,4,0.04,4,0.01,4,0.04,0.06,0.13,0.0,0.0
August,0,0,0,0,3,0.03,4,0.01,3,0.03,0.07,0.16,0.0,0.0
Hansted,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.09,0.0,0.0
Sten-dahl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ritmesterens,0,0,0,0,4,0.04,4,0.01,4,0.04,0.05,0.11,0.02,0.04
Jenny,0,0,0,0,8,0.1,18,0.07,8,0.1,0.09,0.2,0.02,0.04
.Stendalils,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.02,0.0,0.0
A. Fritz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
liam,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.09,0.0,0.0
Stendahl.s,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
lian,0,0,0,0,13,0.17,20,0.08,13,0.17,0.15,0.33,0.04,0.09
Hei-,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.13,0.0,0.0
Eieren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rasmus Block,0,0,0,0,3,0.03,4,0.01,3,0.03,0.0,0.0,0.02,0.04
Andreas,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Andreas Block,0,0,0,0,3,0.03,3,0.01,3,0.03,0.01,0.02,0.03,0.07
Berider Palstrup,0,0,0,0,2,0.01,5,0.02,2,0.01,0.05,0.11,0.0,0.0
Mongol,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
ermaaskeHr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Palstrups,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Servanten,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.11,0.0,0.0
s,0,0,0,0,12,0.16,27,0.1,12,0.16,0.15,0.33,0.02,0.04
Harald Vissing,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.11,0.0,0.0
Vissing,0,0,0,0,19,0.26,32,0.12,19,0.26,0.18,0.4,0.08,0.18
Hegner,0,0,0,0,51,0.72,178,0.71,51,0.72,0.37,0.82,0.3,0.67
Lind,0,0,0,0,12,0.16,18,0.07,12,0.16,0.13,0.29,0.07,0.16
Sel-berg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
guerre,0,0,0,0,1,0.0,2,0.0,1,0.0,0.03,0.07,0.0,0.0
