source,target,type,weight
Peter,Peter Flink,Undirected,2
Ove Jacobsen,Peter,Undirected,4
Peter,Peter sin,Undirected,1
Peter,Vincent Riber strax,Undirected,1
Peter Fløjkok,Vincent Riber strax,Undirected,1
Ove,Peter Fløjkok,Undirected,1
Dingeling,Vincent,Undirected,1
Johannes«,Peter,Undirected,1
Peter,Vincent Riber,Undirected,1
Ove,Peter,Undirected,80
Johannes,Vincent,Undirected,4
Johannes,Ove,Undirected,21
Camilla Worm,Ove,Undirected,5
Camilla Worm,Vincent Riber,Undirected,6
Camilla,Vincent,Undirected,22
Johannes,Peter,Undirected,13
Peter,Vincent,Undirected,10
Ove,Vincent,Undirected,33
Dingeling,Peter,Undirected,3
Peter,svaredejohannes,Undirected,1
Gud,Vincent,Undirected,3
Asen,Peter,Undirected,1
Peter,mannovar,Undirected,1
Ove Jacobsen,Vincent,Undirected,2
Dingeling,Ove,Undirected,3
Gud,Peter,Undirected,5
Ove,dettehersens,Undirected,1
Egholt,Valders,Undirected,3
Egholt,Riber,Undirected,1
Valders,smaalo Eru Egholt,Undirected,1
Gud,Vilhelms,Undirected,1
Vilhelm,Vilhelms,Undirected,1
Gud,Vilhelm,Undirected,1
Riber,Valders,Undirected,1
Gud,Pøblen,Undirected,1
Baadsmand Hau,Magnussen,Undirected,1
Hau,Kanoner Jespersen,Undirected,1
Satan,Valders,Undirected,1
Hau,Ove,Undirected,1
Johannes,smaalo,Undirected,1
Ove,Sprichwort,Undirected,1
Hau,Johannes,Undirected,1
Valders,Vincent,Undirected,2
Hau,Riber,Undirected,1
Gud,Johannes,Undirected,5
Riber,Vincent,Undirected,2
Arabella,Riber,Undirected,1
Johannes,Riber,Undirected,1
Madam Flink,Peter,Undirected,1
Madam Flink,Ove,Undirected,1
Ove exercerede,Peter,Undirected,1
Ove exercerede,Vincent,Undirected,1
Jacobsen,Ove,Undirected,15
Brun,Ove,Undirected,9
Brun,Jomfru Jacobsens,Undirected,2
Gud,Jomfru Jacobsen,Undirected,1
Gud,Peter —,Undirected,1
Frøken Worm,Vincent,Undirected,1
Mama,Vincent,Undirected,2
Mama,Peter,Undirected,1
Madam Flink,Madam Hansen,Undirected,1
Gud,Hansen,Undirected,1
Arrabella,Otto Jomfru Jacobsens,Undirected,1
Otto Jomfru Jacobsens,Vincent,Undirected,1
Ove,Vincent Riber,Undirected,2
Camilla,Ove,Undirected,50
Ove,Vissenpind,Undirected,1
Jespersen,Peter,Undirected,2
Høker Jensen,Peter,Undirected,1
Jespersen,Ove,Undirected,3
Fatter,Mutter,Undirected,1
Mortensen,Peter,Undirected,1
Fatter,Peter,Undirected,4
Ove,Tante,Undirected,1
Peter,Tante,Undirected,1
Carro,Peter,Undirected,1
Nicolaj,Nicolaj Unnerod,Undirected,2
Christensen,Nicolaj Unnerod,Undirected,1
Christensen,Marcussen,Undirected,1
