source,target,timestamp
Gud,Thora Mansfeldt,2
Thora,Thora Mansfeldt,2
Mansfeldt,Thora,3
Bøhmer,Mansfeldt,3
Bøhmer,Thora,3
Thora,nied,3
nied,undgaa,3
Mansfeldt,Thora,4
Mansfeldt,lille Thøras,4
Fritz Hage,lille Thøras,4
Fritz Hage,Thora,4
Fritz,Thora,5
Fritz,Thora,5
Thora,Thøra,5
Thora,Thøra,5
Frikz,Thora,5
Frikz,Thora,5
. r Frikz,Thora,5
. r Frikz,Fritz,5
Fritz,s,5
Bærelfe,s,5
Bærelfe,Thora,5
Thora,Thora Fritz,6
Fritz,Thora,6
Fritz,Thora,6
Fritz,Thora,6
Fritz,Mansfeldfs,6
Mansfeldfs,Thora,6
Fritz,Thora,6
Fritz,Thora,6
Fritz,Thora,6
Fritz,Gud,6
Fritz,Gud,6
,Fritz,7
,Thora,7
Thora,hnn,7
Fritz,hnn,7
,Fritz,7
,Fritz,8
,Fritz,8
,Fritz,10
,Thora,10
Fritz,Thora,10
Fritz,ester,10
Fritz,ester,10
Gud,Thora,11
Frifz,Gud,11
Frifz,Thora,11
Frifz,Thora,11
Frifz,Mansfeldt,11
Fritz,Thora,13
,Fritz,13
,Thora,13
Fritz,Thora,13
Fritz,Thora,13
Gud,Thora,13
Gud,Thora,13
Fritz,Thora,13
Fritz,Gud,13
Gud,Mansfeldt,13
Mansfeldt,Thora,13
Fritz,Thora,13
Fritz,Mansfeldt,13
Mansfeldt,Thora,13
Fritz,Thora,13
Fritz,Thora,13
,Fritz,14
,Fritz Hage,14
Fritz,Fritz Hage,14
Frikz,Fritz,14
Frikz,Thora,14
Frikz,Thora,14
Frikz,t,14
Mansfeldf,t,14
Fritz,Mansfeldf,14
Fritz,LEre,14
LEre,Wre,14
Fritz,Mansfeldf,15
,Fritz,15
,Fritz,15
,Fritz,15
,Thora,15
Fritz,Thora,16
Fritz,Thora,16
Fritz,Thora,16
Frikz,Thora,17
Frikz,Thora,17
Fritz,Thora,17
Fritz,Thora,18
,Fritz,18
,Mansfeldt,18
Mansfeldt,Thora,18
Mansfeldt,Thora,18
Mansfeldt,Thora,18
Fritz,Thora,18
Fritz,Thora,18
Fritz,Thora,18
Fritz,Thora,18
Fritz,Thora,18
Fritz,Thora,18
Thora,as,18
Fritz,as,18
Fritz,Thora,18
Fritz,Thora,18
Frikz,Fritz,18
Frikz,Mansfeldt,18
Frikz,Mansfeldt,18
Frikz,Lunder,18
Frikz,Lunder,18
Frikz,Lunder,18
Lunder,Thora,18
Lunder,Thora,18
Lunder,Thora,18
Frikz,Thora,18
Frikz,Thora,18
Mansfeldt,Thora,18
Mansfeldt,Thora,18
Fritz,Thora,18
,Fritz,18
,Lunder,18
Lunder,oder,18
Fritz,oder,18
Fritz,Thora,18
Fritz,Thora,18
Fritz,Lnnder,19
Fritz,Lnnder,19
Fritz,Papa,19
Fritz,Thora,21
Fritz,Lunder,21
Fritz,Lunder,21
Fritz,Thora,21
Lunder,Thora,21
Fritz,Lunder,21
,Fritz,21
,Lunder,21
Mansfeldt,kjære Møller,22
Mansfeldt,Møller,23
Fritz,Møller,23
Fritz,Thora,23
Fritz,Thora,23
Fritz,doa,24
Thora,doa,24
Møller,Thora,24
Møller,Thora,24
Fritz,Thora,24
Fritz,Thora,26
Fritz,Thora,27
Fritz,Mansfeldt,27
Fritz,Mansfeldt,27
Fritz,Thora,27
Mansfeldt,soer,28
Fritz,Mansfeldt,28
