Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Henrik,0,0,0,0,18,1.0,76,1.0,18,1.0,0.41,1.0,0.27,0.69
Poul,0,0,0,0,8,0.41,31,0.4,8,0.41,0.3,0.73,0.03,0.08
Doris,0,0,0,0,10,0.53,21,0.27,10,0.53,0.32,0.78,0.06,0.15
Niels,0,0,0,0,12,0.65,27,0.35,12,0.65,0.33,0.8,0.11,0.28
r,0,0,0,0,4,0.18,7,0.08,4,0.18,0.13,0.32,0.0,0.0
Mo,0,0,0,0,12,0.65,30,0.39,12,0.65,0.33,0.8,0.13,0.33
Buntsen,0,0,0,0,18,1.0,61,0.8,18,1.0,0.37,0.9,0.39,1.0
The,0,0,0,0,2,0.06,2,0.01,2,0.06,0.1,0.24,0.0,0.0
Agnes,0,0,0,0,4,0.18,10,0.12,4,0.18,0.13,0.32,0.01,0.03
Herta,0,0,0,0,5,0.24,9,0.11,5,0.24,0.13,0.32,0.02,0.05
Hellesen,0,0,0,0,7,0.35,12,0.15,7,0.35,0.15,0.37,0.14,0.36
Godseiers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Frøken Blomberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Slendrian,0,0,0,0,3,0.12,4,0.04,3,0.12,0.11,0.27,0.02,0.05
Henrik Gerløv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Ottesen,0,0,0,0,2,0.06,2,0.01,2,0.06,0.02,0.05,0.03,0.08
Holst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mo’,0,0,0,0,4,0.18,5,0.05,4,0.18,0.15,0.37,0.0,0.0
Godfred Christensens,0,0,0,0,2,0.06,2,0.01,2,0.06,0.02,0.05,0.0,0.0
Aagaards,0,0,0,0,2,0.06,2,0.01,2,0.06,0.05,0.12,0.01,0.03
Onkels,0,0,0,0,5,0.24,13,0.16,5,0.24,0.16,0.39,0.04,0.1
Gud,0,0,0,0,7,0.35,7,0.08,7,0.35,0.21,0.51,0.07,0.18
Pintsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
X,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Pintse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Brandt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
ifjor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Jomfru Iversen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Holm,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.12,0.0,0.0
Frøken Holm,0,0,0,0,1,0.0,3,0.03,1,0.0,0.05,0.12,0.0,0.0
Poul —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Stillings,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
muntre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Linde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Kjære,0,0,0,0,2,0.06,2,0.01,2,0.06,0.04,0.1,0.0,0.0
Gitte,0,0,0,0,5,0.24,5,0.05,5,0.24,0.14,0.34,0.04,0.1
Bjørn,0,0,0,0,2,0.06,2,0.01,2,0.06,0.06,0.15,0.0,0.0
Bella,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Emely,0,0,0,0,2,0.06,3,0.03,2,0.06,0.0,0.0,0.0,0.0
Mama,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Madam Henriksen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Finsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
iveien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Loke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Thor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jomfru Knudsen,0,0,0,0,2,0.06,2,0.01,2,0.06,0.05,0.12,0.1,0.26
Petra Holm,0,0,0,0,2,0.06,2,0.01,2,0.06,0.01,0.02,0.07,0.18
Petra,0,0,0,0,2,0.06,2,0.01,2,0.06,0.0,0.0,0.03,0.08
Plyds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Karl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Born,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
s,0,0,0,0,3,0.12,4,0.04,3,0.12,0.14,0.34,0.0,0.0
freidig,0,0,0,0,2,0.06,2,0.01,2,0.06,0.1,0.24,0.0,0.0
