Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Harald,0,0,0,0,25,1.0,130,1.0,25,1.0,0.48,1.0,0.43,1.0
Jørgen Lund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Line,0,0,0,0,13,0.5,47,0.36,13,0.5,0.28,0.58,0.2,0.47
Fingels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Fingel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Jacob Rønnov,0,0,0,0,5,0.17,16,0.12,5,0.17,0.23,0.48,0.0,0.0
Jacob,0,0,0,0,8,0.29,23,0.17,8,0.29,0.21,0.44,0.11,0.26
Vilhelm,0,0,0,0,8,0.29,25,0.19,8,0.29,0.28,0.58,0.06,0.14
Peter Larsen,0,0,0,0,10,0.38,29,0.22,10,0.38,0.29,0.6,0.09,0.21
saa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Jens Knudsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Kirstines,0,0,0,0,1,0.0,2,0.01,1,0.0,0.07,0.15,0.0,0.0
Kirstine,0,0,0,0,14,0.54,60,0.46,14,0.54,0.38,0.79,0.15,0.35
Richardt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Dalborg,0,0,0,0,9,0.33,22,0.16,9,0.33,0.28,0.58,0.08,0.19
hdt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Karen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Flan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Malstroms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Harald —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
