Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Cora,0,0,0,0,1,0.0,2,0.02,1,0.0,0.06,0.14,0.0,0.0
Æsop,0,0,0,0,9,0.57,19,0.41,9,0.57,0.35,0.8,0.17,0.33
Gud,0,0,0,0,13,0.86,29,0.64,13,0.86,0.42,0.95,0.3,0.58
Olje,0,0,0,0,2,0.07,2,0.02,2,0.07,0.08,0.18,0.0,0.0
Lila,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.16,0.0,0.0
Jomfru Edvardas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.14,0.0,0.0
Jomfru Edvarda,0,0,0,0,2,0.07,3,0.05,2,0.07,0.14,0.32,0.0,0.0
Hr. Macks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Toddy,0,0,0,0,2,0.07,2,0.02,2,0.07,0.08,0.18,0.04,0.08
Edvarda,0,0,0,0,15,1.0,35,0.77,15,1.0,0.44,1.0,0.52,1.0
Konsulen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mack,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.04,0.08
Carl Johans,0,0,0,0,2,0.07,2,0.02,2,0.07,0.02,0.05,0.08,0.15
Hr. Mack,0,0,0,0,3,0.14,6,0.11,3,0.14,0.1,0.23,0.12,0.23
Diderik,0,0,0,0,3,0.14,7,0.14,3,0.14,0.11,0.25,0.05,0.1
Iselin,0,0,0,0,9,0.57,15,0.32,9,0.57,0.2,0.45,0.24,0.46
Pan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
iland,0,0,0,0,3,0.14,6,0.11,3,0.14,0.1,0.23,0.04,0.08
Frøken,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.16,0.0,0.0
didhen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Provstens,0,0,0,0,2,0.07,2,0.02,2,0.07,0.14,0.32,0.0,0.0
Eva,0,0,0,0,8,0.5,16,0.34,8,0.5,0.34,0.77,0.21,0.4
Jær,0,0,0,0,3,0.14,4,0.07,3,0.14,0.21,0.48,0.0,0.0
Glahn,0,0,0,0,10,0.64,45,1.0,10,0.64,0.29,0.66,0.25,0.48
Marv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Bjørn,0,0,0,0,2,0.07,2,0.02,2,0.07,0.04,0.09,0.0,0.0
Svend,0,0,0,0,2,0.07,2,0.02,2,0.07,0.04,0.09,0.0,0.0
Dundas,0,0,0,0,2,0.07,4,0.07,2,0.07,0.11,0.25,0.01,0.02
Lul,0,0,0,0,2,0.07,2,0.02,2,0.07,0.04,0.09,0.0,0.0
lul,0,0,0,0,2,0.07,2,0.02,2,0.07,0.04,0.09,0.0,0.0
Stamer,0,0,0,0,2,0.07,2,0.02,2,0.07,0.04,0.09,0.04,0.08
Svend Herlufsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
sid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.18,0.0,0.0
vandred,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.14,0.0,0.0
ho-ho,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.16,0.0,0.0
Jærnnat,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.14,0.0,0.0
Foler,0,0,0,0,2,0.07,2,0.02,2,0.07,0.08,0.18,0.04,0.08
rene gale,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Sirilund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.18,0.0,0.0
hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.18,0.0,0.0
Stene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.18,0.0,0.0
Karls,0,0,0,0,2,0.07,2,0.02,2,0.07,0.13,0.3,0.0,0.0
Thomas Glahn,0,0,0,0,3,0.14,6,0.11,3,0.14,0.13,0.3,0.04,0.08
sandere,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Halfbreed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
glindsed,0,0,0,0,2,0.07,2,0.02,2,0.07,0.07,0.16,0.0,0.0
Maggie,0,0,0,0,1,0.0,28,0.61,1,0.0,0.05,0.11,0.0,0.0
taus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
paany Maggies,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
