source,target,timestamp
Hedvig,prr,4
Hassel,Hedvig,4
Hassel,Jørgen,4
Frøken Hedvig,Hassel,6
Frøken Hedvig,Hammer,6
Hammer,Hassel,6
Hammer,Hassel,8
Hassel,Jørgen Fragtmands,9
Hassel,Jørgen,11
Gud,Jørgen,14
Hassel,Jørgen,15
Apoteker Hammer,Dalgaard,17
Gud,Hassel,18
Dalgaard,Hassel,20
Frøken Brask,Hassel,24
Gud,Hassel,24
Dalgaard,Hassel,25
Hammer,Hassel,26
Dalgaard,Pyrola uniflora,28
Dalgaard,Hassel,30
Dalgaard,Hassel,32
Bredes,Hassel,32
Dalgaard,Hassel,33
Dalgaard,Hassel,37
Dalgaard,Hedvig,38
Dalgaard,Hassel,40
Dalgaard,Hassel,43
Dalgaard,Gud,46
Hedvig,Henrik Smid,47
Frøken Hammer,Hassel,48
Dalgaard,Frøken Hammer,48
Dalgaard,Hedvig,48
Hassel,Per Gynt,54
Kristian,Per Gynt,54
Dalgaard,Hassel,56
Hassel,Hedvig,56
Dalgaard,Launing,59
Gud,Peder Paarses,62
Dalgaard,Hassel,63
Aarholm,Bjørk,81
Aarholm,Bjørk,81
Gud,Jærntraade,86
Peter Andreas,Vejlby,91
Elster,Vejlby,93
Elster,ErBjørk,93
Aarholm,Gud,95
Gud,Vejlby,96
Dalgaard,Hedvig,98
Dalgaard,Hassel,99
Hassel,Hedvig,102
Baumann,Niels,122
Baumann,Niels,122
Karlen,Rollo,124
Karlen,Niels,124
Baumann,lian,126
Niels,lian,126
Baumann,Niels,128
.Niels,Baumann,130
.Niels,Niels,130
Lini,Niels,130
Feddersen,Niels,136
Niels,Niels Feddersen,136
Baumann,Feddersen,137
Merpi,Monsieur,146
Merpi,Niels,146
Baumann,Karlen,147
Baumann,Kristine Madsen,147
Baumann,Niels,148
Baumann,Niels,153
Niels,Niels’,156
Kristine,Niels,158
Kristine,Niels,158
Kristine,Niels,159
Adam,Niels,161
Marsch,Niels,164
Bacchus,Niels,166
Bacchus,Kristine,166
Kristine,Niels,166
Kristine,Niels,166
Loths,Niels,168
Kristine,Loths,168
