Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Magsvejr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Puntervig,0,0,0,0,33,0.89,81,0.59,33,0.89,0.31,0.79,0.18,0.75
Thestrup,0,0,0,0,4,0.08,8,0.05,4,0.08,0.03,0.08,0.03,0.12
Edda,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hejmdals,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frederik,0,0,0,0,3,0.06,3,0.01,3,0.06,0.01,0.03,0.01,0.04
Sessan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stahlin,0,0,0,0,3,0.06,6,0.04,3,0.06,0.0,0.0,0.01,0.04
em,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dronning Margarethe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Skagerak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bendz,0,0,0,0,22,0.58,60,0.43,22,0.58,0.28,0.72,0.12,0.5
Lesser,0,0,0,0,37,1.0,135,0.99,37,1.0,0.39,1.0,0.24,1.0
Holmsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Pfefferkorns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
De Meza,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Etatsraad Bruns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hall,0,0,0,0,2,0.03,3,0.01,2,0.03,0.0,0.0,0.0,0.0
Gehejmeraad Hall,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Frederik den,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Mitchel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hertz,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
"Øehlenschlåger, Hejberg",0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hauch,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Ingemann,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Edele,0,0,0,0,32,0.86,137,1.0,32,0.86,0.37,0.95,0.15,0.62
Papa,0,0,0,0,5,0.11,11,0.07,5,0.11,0.08,0.21,0.01,0.04
Madam Sannæm,0,0,0,0,16,0.42,31,0.22,16,0.42,0.26,0.67,0.03,0.12
Madam,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Sannæm,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Iversens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.15,0.0,0.0
