Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Georg Stén,0,0,0,0,3,0.04,3,0.01,3,0.04,0.08,0.15,0.0,0.0
Oluf,0,0,0,0,36,0.62,121,0.57,36,0.62,0.4,0.73,0.24,0.51
Oluf Gerner,0,0,0,0,5,0.07,5,0.02,5,0.07,0.14,0.25,0.01,0.02
Georg,0,0,0,0,57,1.0,213,1.0,57,1.0,0.55,1.0,0.47,1.0
Ella,0,0,0,0,3,0.04,10,0.04,3,0.04,0.12,0.22,0.0,0.0
Gudrun,0,0,0,0,7,0.11,14,0.06,7,0.11,0.16,0.29,0.01,0.02
Georg Sten,0,0,0,0,5,0.07,7,0.03,5,0.07,0.14,0.25,0.01,0.02
d,0,0,0,0,2,0.02,2,0.0,2,0.02,0.05,0.09,0.0,0.0
Skraa,0,0,0,0,2,0.02,2,0.0,2,0.02,0.07,0.13,0.0,0.0
Frøken Ella,0,0,0,0,3,0.04,5,0.02,3,0.04,0.12,0.22,0.0,0.0
—,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Frøken Gudruns,0,0,0,0,3,0.04,4,0.01,3,0.04,0.12,0.22,0.0,0.0
Levy,0,0,0,0,3,0.04,5,0.02,3,0.04,0.11,0.2,0.01,0.02
Olsen,0,0,0,0,13,0.21,26,0.12,13,0.21,0.18,0.33,0.1,0.21
Asmussen,0,0,0,0,4,0.05,11,0.05,4,0.05,0.12,0.22,0.02,0.04
Max,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sylten,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
Nikolaj,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gerner,0,0,0,0,8,0.12,8,0.03,8,0.12,0.11,0.2,0.05,0.11
Hansted-Sørensen,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.07,0.0,0.0
Schinkel,0,0,0,0,4,0.05,6,0.02,4,0.05,0.11,0.2,0.03,0.06
Hans Poulsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Hr. Flinch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hrr,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.01,0.02
Hr. Schinkels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Jens Klausen,0,0,0,0,4,0.05,8,0.03,4,0.05,0.06,0.11,0.02,0.04
Steffensen,0,0,0,0,4,0.05,8,0.03,4,0.05,0.02,0.04,0.02,0.04
Flinch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hvass,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
s,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rasmussen,0,0,0,0,2,0.02,7,0.03,2,0.02,0.07,0.13,0.0,0.0
Asta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Granberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Svendsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Xenophons,0,0,0,0,2,0.02,2,0.0,2,0.02,0.06,0.11,0.01,0.02
B,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Karl,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.07,0.01,0.02
Frøken Gudrun,0,0,0,0,1,0.0,5,0.02,1,0.0,0.06,0.11,0.0,0.0
ed rags,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Gerner —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Lotte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Don Bartholo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Højbjærg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Hr. Teisen,0,0,0,0,2,0.02,2,0.0,2,0.02,0.03,0.05,0.0,0.0
Teisen,0,0,0,0,4,0.05,4,0.01,4,0.05,0.13,0.24,0.0,0.0
Jean Jaques,0,0,0,0,2,0.02,5,0.02,2,0.02,0.02,0.04,0.02,0.04
Rousseau,0,0,0,0,2,0.02,3,0.01,2,0.02,0.0,0.0,0.01,0.02
Chambertin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vane,0,0,0,0,2,0.02,2,0.0,2,0.02,0.06,0.11,0.0,0.0
sorn Maleren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Githeren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,7,0.11,13,0.06,7,0.11,0.13,0.24,0.05,0.11
véd,0,0,0,0,2,0.02,3,0.01,2,0.02,0.03,0.05,0.0,0.0
gale Olsen,0,0,0,0,5,0.07,8,0.03,5,0.07,0.14,0.25,0.01,0.02
Kennst du,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Petersen,0,0,0,0,5,0.07,5,0.02,5,0.07,0.09,0.16,0.01,0.02
Gale Olsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mama,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Mo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Katrine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
lien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
lian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Paavirk ningen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Straus,0,0,0,0,2,0.02,2,0.0,2,0.02,0.06,0.11,0.01,0.02
Feuerbach,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Gøthes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Heines,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
