source,target,timestamp
Jens,Marie,1
Jens,Marie,4
Jens,Marie,4
Jens,Marie,6
Greven,Jens,9
Greven,Jens,9
Inger Kathrine,Jens,17
Jens,Kathrine,18
Greven,Jens,19
Greven,Henriksen,19
Inger Kathrine,Jens,21
Greven,lille Jens,28
Inger Kathrine,Madam Falk,29
Inger Kathrine,Jens,29
Jens,Jens’,30
Jens,Madam Falk,31
Jens,Madam Falk,31
Jens,Marie,31
Jens,Marie,31
Falk,lian,41
Bissen,Schou,42
Falk,Schou,42
Falk,Schou,42
Falk,Karl,56
Jens,Marie,64
Falk,Marie,65
Falk,ban,69
Falk,ban,69
Aage Holm,Falk,70
Falk,for-Holm,72
Falk,Holm,75
Falk,Greven,82
Falk,Praxis,100
Falk,Krog,101
Falk,Krog,102
Falk,kouleurt Creton,103
Falk,Jeanne d’,104
Aage Holm,Kafeen,105
Falk,Guldbrandsen,110
Guldbrandsen,Jmn,116
Falk,Frøken Graa,124
Frøken Graa,Guldbrandsen,124
Frøken Graa,Hr. -Falk,125
Falk,Guldbrandsen,126
Falk,Frøken Graa,127
Falk,Graa,128
Falk,Krog,140
Falk,Guldbrandsen,149
Ellen Graas,Falk,153
Falk,Guldbrandsen,154
Falk,Guldbrandsen,154
Falk,Guldbrandsen,154
Falk,Guldbrandsen,154
Guldbrandsen,Vermouth,154
Falk,Vermouth,154
Falk,Guldbrandsen,155
Falk,Guldbrandsen,155
Ellen Graa,Falk,159
Falk,Frøken Graa,160
Frøken Graa,u Falk,162
Aage Holm,Falk,168
Aage Holm,Holm,171
Fritz,Holm,172
Falk,Fritz Dahl,174
Aage Holm,Falk,177
Aage Holm,Dahl,177
Dahl,Holm,178
Falk,Holm,178
Aage Holm,Kong Christian,180
Aage Holm,Falk,186
Dahl,Holm,187
Dahl,Guldbrandsen,187
Falk,Guldbrandsen,187
Boulanger,Guldbrandsen,189
Dahl,Guldbrandsen,191
Guldbrandsen,Holm,191
Boulanger,Holm,191
Boulanger,Falk,191
Guldbrandsen,Holm,192
Dahl,Holm,192
Dahl,Falk,192
Falk,Holm,192
Ellen Graa,Falk,198
Dahl,Holm,210
Frøken Graa,Guldbrandsen,211
Dahl,Holm,212
Falk,Frøken Graa,213
Falk,Holm,217
Falk,Guldbrandsen,217
Dahl,Guldbrandsen,217
Dahl,Falk,217
Falk,Holm,218
Falk,Holm,219
Falk,Holm,220
Dahl,hinandejn,224
Dahl,Frøken Graa,224
Frøken Graa,Holm,224
Dahl,capo,228
Falk,Holm,230
Dahl,Sophaen,231
Dahl,Holm,234
Dahl,Ellen Graa,237
Graa,Humeur,238
Holm,Lanciers,239
Dahl,Holm,241
Falk,Gud,242
Gud,Peer Gynt,242
Dahl,Holm,245
Falk,Holm,252
Dahl,Falk,252
Boulanger,prange,253
Boulanger,Napoleon,257
Christian Winther,Ingemann,261
Dahl,Guldbrandsen,264
Dahl,Holm,264
Dahl,Holm,264
Frøken Graa,Guldbrandsen,268
Dahl,Frøken Graa,268
Dahl,Graa,270
Dahl,Frøken Graa,282
Dahl,Ellen Graa,284
Ellen Graa,Holm,284
Falk,Holm,284
Holm,tøan,285
Falk,Holm,285
Falk,Krog,295
Frøken Graa,Krog,295
Carnot,liam,299
Holm,valen Villie,302
Dahl,Graa,309
Dahl,Guldbrandsen,312
Dahis,Guldbrandsen,312
Falk,livor,314
Falk,Marie,329
Marie,paany,342
Holm,Marie,344
Falk,Marie,344
Falk,Holm,344
Dahl,Marie,351
Falk,Marie,351
Falk,Holm,356
Holm,Marie,356
Falk,Holm,360
Falk,Graa,360
Holm,istaa,361
Falk,Holm,361
Falk,Marie,361
Falk,Marie,362
Marie,Taus,363
Ellen Graa,Taus,363
Ellen Graa,Falk,363
Holm,Napoleon den Tredies,367
Fru Falk,Holm,382
Holm,Niels,387
Hys,Jens,390
Falk,Holm,392
Falk,Holm,393
Boulanger,Holm,398
Guldbrandsen,Holm,398
Falk,Holm,401
Guldbrandsen,Holm,408
Falk,Guldbrandsen,408
