Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Louis XV,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Vang,0,0,0,0,18,0.45,36,0.34,18,0.45,0.26,0.68,0.06,0.24
Liscia,0,0,0,0,12,0.29,14,0.12,12,0.29,0.15,0.39,0.05,0.2
praeter plura,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Chr.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
L’,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
hombre,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Zola,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
Gud,0,0,0,0,12,0.29,16,0.14,12,0.29,0.17,0.45,0.03,0.12
Margaux,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.0,0.0
Servanten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Vilhelm,0,0,0,0,35,0.89,84,0.8,35,0.89,0.36,0.95,0.25,1.0
J,0,0,0,0,2,0.03,3,0.02,2,0.03,0.06,0.16,0.0,0.0
Vilhelm Vang,0,0,0,0,26,0.66,74,0.7,26,0.66,0.28,0.74,0.13,0.52
lille Liscia,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Goethe,0,0,0,0,4,0.08,4,0.03,4,0.08,0.05,0.13,0.03,0.12
Schiller,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.04
Lamartine,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.04
Victor Hugo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
s,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Krølhaars,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Julius Dann,0,0,0,0,11,0.26,24,0.22,11,0.26,0.21,0.55,0.02,0.08
Povl Tode,0,0,0,0,8,0.18,25,0.23,8,0.18,0.12,0.32,0.02,0.08
Dann,0,0,0,0,39,1.0,105,1.0,39,1.0,0.38,1.0,0.18,0.72
Povl. Tode,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Tode,0,0,0,0,19,0.47,77,0.73,19,0.47,0.26,0.68,0.05,0.2
Hr. Todes,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Alexander den,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
Aristoteles,0,0,0,0,4,0.08,5,0.04,4,0.08,0.02,0.05,0.0,0.0
Karl,0,0,0,0,4,0.08,4,0.03,4,0.08,0.04,0.11,0.02,0.08
Halling,0,0,0,0,4,0.08,5,0.04,4,0.08,0.01,0.03,0.01,0.04
Tobisens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Tode os,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Hr. Vang,0,0,0,0,9,0.21,12,0.11,9,0.21,0.18,0.47,0.01,0.04
Gine,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.11,0.0,0.0
JeS,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.01,0.04
juris.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
per didis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Skaal,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.11,0.0,0.0
Jolle,0,0,0,0,5,0.11,5,0.04,5,0.11,0.08,0.21,0.01,0.04
Polle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Hr. Dann,0,0,0,0,5,0.11,5,0.04,5,0.11,0.08,0.21,0.01,0.04
hanses,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
dent Tode,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Suzon,0,0,0,0,10,0.24,13,0.12,10,0.24,0.04,0.11,0.04,0.16
Therese,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Susse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
juris Anonymus,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Jensen,0,0,0,0,4,0.08,5,0.04,4,0.08,0.03,0.08,0.01,0.04
Susanne,0,0,0,0,29,0.74,83,0.79,29,0.74,0.3,0.79,0.15,0.6
Tokajer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Julius,0,0,0,0,9,0.21,26,0.24,9,0.21,0.15,0.39,0.02,0.08
Madam Jensen,0,0,0,0,15,0.37,30,0.28,15,0.37,0.15,0.39,0.09,0.36
Mechte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
etwas,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Lene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
butO,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Saxen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Throne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Filister,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.05,0.0,0.0
Konferensraad Vangs,0,0,0,0,4,0.08,4,0.03,4,0.08,0.09,0.24,0.01,0.04
Timbre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Villy,0,0,0,0,12,0.29,16,0.14,12,0.29,0.15,0.39,0.04,0.16
Jesper Ridefoged,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Per Degn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Per,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Jesper,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dantons,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Hamlet,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Ludolf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Pappa,0,0,0,0,7,0.16,9,0.08,7,0.16,0.04,0.11,0.01,0.04
Sapristi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mamma,0,0,0,0,7,0.16,11,0.1,7,0.16,0.08,0.21,0.02,0.08
Schmatter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
mich,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sodan,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.04
dich,0,0,0,0,6,0.13,6,0.05,6,0.13,0.0,0.0,0.03,0.12
Alions,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.03,0.12
Suzon barsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Beddersens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
tom,0,0,0,0,4,0.08,4,0.03,4,0.08,0.06,0.16,0.01,0.04
