source,target,timestamp
Hans,Kristense,3
Faa,Kristense,4
Gud,Kristense,5
Graad,Kristense,8
Gud,Kristense,10
Kristense,Svend,11
Graad,Margrethe,13
Margrethe,Svend,16
Gud,Svend,19
Kristense,Svend,21
Hans,Svend,21
Hans,Svend,21
Kristense,Svend,26
Margrethe,Svend,26
Kristense,Svend,27
Gud,Svend,29
Gud,Hans,29
Hans,Margrethe,30
Kristense,Margrethe,30
Kristense,Svend,30
Hans Fjorddal,Svend,30
Hans Fjorddal,Margrethe,30
Kristense,Svend,32
Margrethe,Svend,32
Margrethe,Svend,33
Margrethe,Svend,34
Hans Fjorddal,Margrethe,38
Margrethe,Svend,43
Kristense,Svend,44
Kristense,Svend,44
Kristense,Svend,44
Gud,Gunild,47
Gunild,Margrethe,48
Gunild,Svend,48
Klavs,hans,50
Klavs,hans,50
Klavs,Svend,53
Klavs,Svend,54
Kristense,Margrethe,60
Gud,Margrethe,60
Nielses,Svend,62
Cecilie,Nielses,62
Cecilie,Svend,62
Ole,Svend,63
Jette,Niels,66
Jette,Svend,66
Niels,Svend,75
Niels,Svend,77
Niels,Svend,77
Niels,Svend,78
Jette,Svend,78
Jette,Ole,78
Niels,Svend,81
Ole,Svend,83
Gud,Niels,85
Jette,Niels,90
Jette,Niels,90
Niels,Svend,91
Ole,Svend,91
Niels,Svend,92
Niels,Ole,93
Niels,Ole,93
Karlen,Niels,93
Margrethe,Nielses,96
Nielses,Svend,96
Niels,Svend,96
Karlen,Svend,99
Niels,Svend,99
Margrethe,Niels,99
Margrethe,Svend,99
Julie,Nielses,100
Margrethe,Niels,101
Niels,Svend,101
Niels,Svend,101
Margrethe,Niels,101
Julie,Margrethe,103
Julie,Niels,103
Niels,Svend,103
Niels,Svend,103
Margrethe,Niels,103
Elise,Margrethe,103
Alfred,Nielses,104
Alfred,Margrethe,104
Karl,Svend,106
Karl,Margrethe,106
Margrethe,Svend,107
Margrethe,Svend,109
Margrethe,Svend,114
Julie,Margrethe,116
Julie,Niels,118
Niels,Svend,118
Hans Fjorddal,Margrethe,119
Gunild,hans,120
Gunild,Margrethe,120
Margrethe,Svend,120
Margrethe,Svend,123
Margrethe,Svend,125
Margrethe,Svend,125
Julie,Margrethe,127
Elise,Julie,127
Alfred,Elise,127
Alfred,Elise,127
Alfred,Elise,127
Margrethe,Svend,129
Margrethe,Svend,130
Margrethe,Svend,130
Margrethe,Svend,132
Margrethe,Svend,137
Margrethe,Svend,138
Elise,Margrethe,141
Elise,Gud,141
Gud,Svend,141
Elise,Svend,142
Elise,Margrethe,142
Julie,Margrethe,144
Alfred,Julie,144
Alfred,Elise,145
Elise,Margrethe,145
Alfred,Julie,148
Cecilie,Jette,152
Cecilie,Julie,152
Julie,Margrethe,152
Elise,Gud,154
Gud,Margrethe,154
Elise,Margrethe,164
Elise,Margrethe,164
Alfred,Julie,166
Margrethe,Svend,170
Julie,Svend,172
Elise,Julie,172
Alfred,Elise,172
Margrethe,Svend,175
Elise,Jette,176
Cecilie,Margrethe,177
