source,target,timestamp
Arnold,Ida,2
Arnold,Edele,2
Edele,Høgholt,11
Arnold,Hasle,12
Arnold,Ida Hammer,12
Arnold Hasle,Ida Hammer,12
Knudsen,Rvg,15
Per,Povl,16
Anders,Hasle,20
Hasle,Ida,22
Edele,Hasle,28
Anna Knudsen,Arnold Hasle,44
Anna Knudsen,Edele,44
Arnold,Edele,49
Edele,lian,55
Edele,Hasle,56
Edele,Hasle,59
Edele,Hasle,63
Edele,Knudsen,68
Hasle,Knudsen,68
Flan,Hasle,69
Anders,Mo’,76
Anna,Høgholt,80
Forvaltcren,Høgholt,80
Edele,Hasle,89
Edele,Hasle,92
Hasle,Knudsen,98
Edele,Finn,103
Ane Jørgens,Jørgen Knudscns,110
Anna,Hasle,115
Anna,Hasle,115
Ane Jørgens,hnn,130
Hasle,hnn,130
Ane Jørgens,Jørgen,133
Ane Jørgens,Anna,133
Ane Jørgens,Anna,134
Ane Jørgens,Anna,134
Anna,Jens,138
Hasle,Jens,138
Ane,lian,144
Edele Hammer,Knudsen,154
Ane,liun,159
Knudsen,liun,159
Ane,Edele,161
Ane Jørgens,Edele,164
Capitain Thomsens,Edele,168
Edele,Knudsen,171
Edele,Ida,178
Edele,lian,188
Knudsen,lian,207
Edele,lian,207
Anna,lian,208
Hasle,lille Knud,209
Ane Jørgens,Hasle,211
Ane Jørgens,Jørgen,211
Edele,Jørgen,211
Edele,Thomsen,218
Christian Winthers,Thomsen,219
Edele,Thomsen,221
Anders Skovfoged,Frøken Hammer,226
Anders Skovfoged,Jens,226
Knudsen,vexle,243
Capitain Thomsen,Edele,246
Knudsen,ban,247
Edele,Knudsen,247
Hasle,Taalmod,248
Hasle,Knudsen,249
Edele,Hasle,253
Edele,Hasle,254
Edele,Hasle,254
Arnold,Edele,254
Arnold,Edele,254
Edele,livor,255
Edele,Thomsen,256
Edele,Potpourri,265
Edele,Hasle,266
Arnold,Edele,270
Arnold,Edele,274
Edele,Høgholt,275
Anna,Hasle,282
Anna,Hasle,289
Anna,Hasle,294
Anna,Hasle,297
Edele,Ida,313
Edele,lian,323
Edele,Knudsen,329
Hasle,Knudsen,330
Hasle,Høgholt,336
Edele,Knudsen,346
Knudsen,Skovfogedens,350
Knudsen,Søsters,355
Edele,Flan,357
Anna,Edele,357
Anna,Hasle,357
Hasle,Knud,357
Hasle,Knud,357
Ane Jørgens,Høgholt,364
Anders,Hasle,366
Anders,Hasle,366
Anna,Hasle,372
Gud,Jørgen,373
Anna,liun,375
Jens,liun,375
Anna,Jens,375
Holm,Knudsen,377
Edele,Hasle,378
Hr. Hasle,Hr. Hasles,379
Edele,Ida,380
Hasle,Ida,383
Knudsen,lian,385
Anna,Jens,388
Anna,Jørgen,396
Ane,Jørgen,398
Ane Jørgens,Jens,405
Anna,Jens,406
Edele,Knudsen,409
Edele,Ida,423
Edele,Ida,425
Arnold,Edele,425
Arnold,Edele,426
Edele,Hasle,431
Edele,Hasle,431
Edele,Hasle,433
Arnold,Hasle,433
Arnold,Ida,434
Arnold,Ida,438
Arnold,Ida,438
Arnold,Ida,438
Edele,Hasle,444
Edele,Hasle,445
Edele,Hasle,454
Edele,Hasle,458
Edele,Ida,458
Anna,Knudsen,464
Anna,Hasle,464
Edele,Hasle,464
Ane Jørgens,Anna,466
Anna,Jens,468
Anna,Knud,476
Edele,Ida,482
Edele,Ida,482
Edele,Hasle,482
Hasle,Ida,482
Edele,Ida,482
Edele,Ida,482
Agerholms,Ida,482
Agerholms,Edele,482
Edele,KjørseL,482
Anna,Edele,484
Edele,Mo’,485
Anna,Mo’,485
Anna,Edele,486
Anna,Edele,489
Anna,Edele,490
Anna,Edele,494
Anna,Hasle,494
Edele,Knud,496
Edele,Hasle,498
Hasle,liun,500
Edele,Knud,505
Frøken Hammer,Knud,510
