source,target,timestamp
Paul,Stakkars,11
Kristiern,Paul,11
mama,papa,13
Gud,papa,14
mama,papa,14
Larsen,Møhl,19
Møhl,Vilhelmsen,19
Vilhelmsen,vos,19
Larsen,jæ,22
Kyperen,Larsen,22
Kyperen,Møhl,22
Immanuel,Møhl,22
Møhl,karlen,26
Immanuel,Trine,27
Immanuel,greja,30
Immanuel,Møhl,32
Møhl,karen,32
Møhl,Svendsen,37
Svendsen,briljant,37
Holm,Møhl,56
Holm,Møhl,56
Birkelund,Hansen,61
Hansen,klinked,62
.,Hs,66
Høyberg,tyssed,67
Høyberg,max,68
Terkildsen,Vilhelmsen,74
Vilhelmsen,hr. Brøndum,74
Jakobsen,bjørn,77
Møhl,fraNorje,79
Pjalter,gud,80
Jacobsen,Møhl,86
Jacobsen,Møhl,90
Holm,Lilly,93
Holm,Møhl,95
Holm,Møhl,98
Holm,Vilhelmsen,104
Møhl,lo,106
Holm,Møhl,108
Holm,Lilly,108
Holm,Møhl,110
Holm,Møhl,112
Holm,Møhl,114
Holm,Weber,116
Holm,Weber,128
Lilly,Weber,128
Lilly,Møhl,132
Lilly,Møhl,136
Lilly,toddy,137
Lilly,Weber,138
mama,papa,154
J. F. Møhl,gud,159
Johnson,gud,164
Møhl,Vilhelmsen,172
Møhl,Vilhelmsen,172
Immanuel,Møhl,172
Møhl,Trine,174
Møhl,Trine,174
Vilhelmsen,tom —,184
Vilhelmsen,skulde én,196
Møhl,Vilhelmsen,197
Møhl,Vilhelmsen,206
Vilhelmsen,laban,209
Møhl,Vilhelmsen,212
Møhl,Vilhelmsen,216
Vilhelmsen,laban,220
Vilhelmsen,laban,220
Lilly Holm,kanske,233
Immanuel,Vilhelmsen,237
Immanuel,frk. Holm,239
Immanuel,Møhl,244
Møhl,Vilhelmsen,246
