source,target,timestamp
Guds,Thomas Schmidt,3
Thomas Schmidt,dot,3
Fndorgang,doros,4
Fndorgang,Ghodo,4
Bjørnson,Ghodo,4
Christian,Thomas,9
Christian,Thomas,10
J,Thomas,11
Thomas,Tue,15
Thomas,lian,17
Christian,lian,17
Hans Christian,Thomas,20
Hans Christian,Thomas,22
Peter Hansen,Peter Hansen Schmidt,24
Carl,Thomas,29
Peter Hansen,Thomas’,30
Carl«,Thomas,33
. Petersen,Carl«,33
. Petersen,Peter Hansen,33
Peter Hansen,Thomas’,33
Thomas’,flen,33
Carl,Christian,34
Carl,Hans,34
Hans,Thomas,34
Hinrich,Thomas,34
Hinrich,Lorentz,34
Lorentz,Thomas,34
Peter Ludvig,Thomas,34
Hans,Peter Ludvig,34
Mama,Papa,36
Postilen,livor,38
Peter Hansen,Thomas,44
Peter Hansen,Thomas,44
Hans,Thomas,46
Gud,J,47
Damasse,Thomas,48
Christian,Damasse,48
Christian,Damasse,48
Damasse,Napoleon,48
Damasse,Thomas,50
Lorentz,Peter Hansen,51
Lorentz,Peter Hansen,51
Lorentz,Thomas,51
Peter Hansen,Thomas,51
Mutter,Peter Hansen,51
Svend,Thomas,52
Svend,Thomas,52
Peter Hansen,Thomas,53
Peter Hansen,Sejr,55
Peter Hansen,Thomas,55
Lorentz,Thomas,56
Peter Hansen,Thomas,57
Kong Frederik,lian,60
Kong Frederik,Thomas,60
Kong Frederik,Thomas,60
Kong Frederik,Thomas,60
B jørneskindshuer,Thomas,60
B jørneskindshuer,sis,60
Christian,Thomas,61
Christian,Peter,61
Christian,Peter Hansen,63
Christian,Peter,63
Christian,Lorentz,65
Peter Hansen,Thomas,68
Peter Hansen,Thomas,71
Najaden,Thomas,71
Najaden,Peter Hansen’,71
Hekla,ban,74
Alnor,Thomas,77
Rohde,lien,78
Peter Hansen,lien,78
Peter Hansen,Thomas’,78
Rohde,siv,79
Thomas,siv,79
Peter Hansen,Thomas,79
Peter Hansen,høs,79
Rohde,høs,79
Gejser,Peter Hansen,82
Gejser,Najaden,82
Gejser,Thomas,84
Thomas,fle,84
Thomas,fle,84
Hans,Thomas,84
Hans,Peter Hansen,84
Gejser,Peter Hansen,85
Peter Hansen,lian,85
Gejser,Thomas,86
Gejser,venus kelske,86
Peter,Peter Hansen,90
Peter,Peter Hansen,92
Peter,Peter Hansen,92
Madam Stentoft,Peter Hansen,93
Peter Hansen,Thomas,94
Hinrich,Thomas,94
Hinrich,livor,94
Carl,livor,94
Carl,Hans Christian,94
Christian,Peter,96
Carl,Christian,96
Carl,Thomas,96
Hinrich,Thomas,96
Hinrich,Peter,96
Peter,lian,97
Hinrich,Thomas,98
Lorentz,Peter,101
Hinrich,Thomas,102
Hinrich,Peter Hansen,102
Peter,Uraad,106
Peter,Uraad,106
Christian,Peter,106
Christian,Madam Stentoft,106
Madam Stentoft,Peter,106
Christian,Peter,106
Christian,Peter,108
Christian,Peter,108
Muttersbach,Peter,108
Christian,Peter,110
Peter,Peter Hansen,110
Christian,Peter,112
Christian,Peter,112
Peter,tik Petersen,112
Peter,Søulke,113
Jes,Jes Mathiessen,114
Jes,Mathiessen,114
Lorentz Fisker,Thomas’,115
Christian,Peter Hansen,117
Jes Mathiessen,Peter Hansen,117
Jes Mathiessen,Muttersbach,120
Jes,Muttersbach,120
Jes Mathiessen,Muttersbach,121
Jes Mathiessen,Lorentz Fisker,121
Lorentz,Muttersbach,123
Jes Mathiessen,Lorentz,125
Christian,Jes Mathiessen,125
Christian,Jes Mathiessen,125
Jes Mathiessen,lian,125
Jes Mathiessen,Muttersbach,126
Jes Mathiessen,Peter Hansen,128
Christian,Peter Hansen,128
Christian,lian,128
Carl,Thomas’,130
Bravo,bravo,134
Christian,Peter Hansen,135
Thomas,liere,136
Thomas,liere,136
Peter Hansen,Peter Ludvig,138
Lorentz,Peter,142
Lorentz,Peter,143
-D---,Hansen,144
Peter Hansen,Thomas,145
Christian,Thomas,145
Mutter,Peter,148
Lorentz,Peter,148
Peter Hansen,Peter Ludvig,149
Peter Hansen,Thomas,150
Hinrich,Thomas,150
Hans,Thomas,155
Peter,liam,158
Peter,Thomas’,158
Hinrich,Thomas,159
Hinrich,Peter,159
Thomas,Thomas’,160
Svend,Thomas’,160
Jens Kolbæk,Svend,160
Jens Kolbæk,Richelsens,160
Thomas,lian,162
Steffensen,lian,162
Jørgen,Thomas,165
Peter Hansen,Thomas,168
Johansen,Thomas,169
Johansen,Thomas,169
Johansen,Thomas,169
Johansen,Thomas,170
Bjørn,Johansen,170
Bjørn,Johansen,170
Johansen,Thomas,170
Johansen,Thomas,170
Johansen,Thomas,170
Anker,Thomas,170
Anker,Thomas,170
Jes Mathiessen,Thomas,170
Jes Mathiessen,Thomas,170
Jærnbane,Thomas,170
Jærnbane,lian,170
Jes Mathiessen,Thomas,171
Christian,Thomas,172
Jes,Thomas,172
Christian,Thomas,174
Christian,Thomas,174
Christian,Thomas,181
Christian,Sundeved,181
Peter Hansen,Sundeved,181
Hinrich,Thomas,183
Thomas,Thomas’,185
Sara,Thomas’,185
Sara,Thomas,185
Sara,Thomas,185
Thomas,lian,186
Thomas,lian,186
Bødker Petersen,Thomas,187
Mesteren,Thomas,187
Magsvejr,lian,192
Jes Mathiessen,lian,192
Jes Mathiessen,Thomas,194
Kong Frederik,Thomas,197
Carl,Peter Hansen,198
Peter Hansen,lian,198
Thomas,lian,198
Christian,Thomas,198
Christian,lier,198
Christian,Thomas,199
