Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Axel Barnekow,0,0,0,0,4,0.09,4,0.02,4,0.09,0.04,0.12,0.0,0.0
Kjørslen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.0,0.0
Gud,0,0,0,0,25,0.75,45,0.28,25,0.75,0.26,0.79,0.13,0.65
Ada,0,0,0,0,25,0.75,81,0.5,25,0.75,0.3,0.91,0.11,0.55
Axel,0,0,0,0,19,0.56,73,0.45,19,0.56,0.22,0.67,0.09,0.45
Papa,0,0,0,0,3,0.06,8,0.04,3,0.06,0.04,0.12,0.01,0.05
Kristian,0,0,0,0,2,0.03,3,0.01,2,0.03,0.03,0.09,0.0,0.0
Karl,0,0,0,0,15,0.44,17,0.1,15,0.44,0.19,0.58,0.04,0.2
Karlen,0,0,0,0,6,0.16,7,0.04,6,0.16,0.08,0.24,0.02,0.1
Husbond,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Ingvar,0,0,0,0,20,0.59,106,0.66,20,0.59,0.27,0.82,0.06,0.3
Sommer,0,0,0,0,20,0.59,36,0.22,20,0.59,0.22,0.67,0.09,0.45
Ras,0,0,0,0,5,0.12,5,0.03,5,0.12,0.06,0.18,0.02,0.1
Borren,0,0,0,0,14,0.41,18,0.11,14,0.41,0.16,0.48,0.05,0.25
Jørgen,0,0,0,0,19,0.56,76,0.47,19,0.56,0.19,0.58,0.13,0.65
Andrea,0,0,0,0,20,0.59,99,0.62,20,0.59,0.26,0.79,0.08,0.4
Frederik Hedebos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Grete,0,0,0,0,4,0.09,7,0.04,4,0.09,0.04,0.12,0.01,0.05
Frederik Hedebo,0,0,0,0,2,0.03,3,0.01,2,0.03,0.02,0.06,0.0,0.0
Andriette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fanny Kirtzner,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.01,0.05
Fanny,0,0,0,0,33,1.0,160,1.0,33,1.0,0.33,1.0,0.2,1.0
lille Fanny,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Fanny’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Pastor Sommer,0,0,0,0,20,0.59,34,0.21,20,0.59,0.21,0.64,0.08,0.4
Hr. Killerup,0,0,0,0,8,0.22,9,0.05,8,0.22,0.09,0.27,0.02,0.1
Barbara Røgters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Jesus,0,0,0,0,8,0.22,9,0.05,8,0.22,0.05,0.15,0.02,0.1
Matthæi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Satan,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.09,0.0,0.0
Jens,0,0,0,0,12,0.34,24,0.14,12,0.34,0.16,0.48,0.03,0.15
Barbara,0,0,0,0,11,0.31,18,0.11,11,0.31,0.18,0.55,0.02,0.1
Dagesen,0,0,0,0,3,0.06,3,0.01,3,0.06,0.04,0.12,0.01,0.05
Jens Røgters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Barnekow,0,0,0,0,29,0.88,72,0.45,29,0.88,0.3,0.91,0.16,0.8
