source,target,timestamp
Dorte Nørby,Ellen,5
Guds,Niels,6
Dorte,Ellen,9
Dorte,Niels,16
Dorte,Gud,16
Dorte,Niels Hedegaard,18
Anders,Niels,20
Anders,Dorte,20
Dorthea,Niels Hedegaard,21
Dorte,Gud,23
Dorte,Niels,25
Dorte,Terkel,25
Ellen,Niels Hedegaaid,27
Dorte,Niels,28
Anders Nørby,Dorte,28
Anders Nørby,Niels,28
Dorte,Niels,28
Dorte,Ellen,28
Dorte,Gud,30
Anders,Dorte,30
Dorte,Isse,35
Isse,Niels,35
Ellen,Niels Hedegaard,36
Dorte,Niels Hedegaard,36
Dorte,Niels Hedegaard,46
Anders,Dorte,48
Dorte,Per Musiker,48
Ellen,Graad,50
Graad,Niels Hedegaard,50
Dorte Nørby,Ellen,51
Dorte Nørby,Ellen,51
Dorte,Ellen,51
Dorte Nørby,x-,53
Ellen,x-,53
Ellen,Graad,53
Anders Nørby,Dorte,55
Anders,Anders Nørby,55
Dorte,Gud,60
Anders,Dorte,63
Anders Nørby,Dorte,64
Anders,Anders Nørby,64
Anders,Dorte,64
Dorte,Jensen,65
Dorte,Jensen,65
Anders,Gud,68
Dorte,Gud,68
Anders,Dorte,72
Dorte,Nørbys,74
Gud,Jep,75
Gud,Mary,75
Dorte,Mary,75
Ellen,Mary,77
Ellen,Jep,77
Jep,Niels Hedegaard,77
Niels Hedegaard,Per Musiker,77
Anders Nørby,Per Musiker,77
Dorte,liun,78
Anders Nørby,Dorte Nørby,79
Anders Nørby,Dorte,79
Per,Per Musiker,83
Dorte,Per,83
Niels Hedegaard,Per,86
Dorte,Ellen,87
Dorte Nørby,Ellen,88
Dorte,Mary,90
Dorte Nørby,Mary,93
Dorte,Ellen,96
Ellen,Niels Hedegaard,98
Dorte Nørby,Niels Hedegaard,98
Gud,Paulusses,100
Gud,Paulusses,100
Gud,Per,103
Gud,a,104
Per,Terzen,107
Gud,Jesus,113
Gud,jærnhaarde,115
Eidsager,Holmboe,119
Dorte Nørby,Eidsager,119
Gud,Karls,122
Gud,het,126
Plans,het,126
Gud,Plans,126
Dorte Nørby,Niels Hedegaard,132
Gud,Niels Hedegaard,132
Jerrik Hejre,Per Musiker,138
Jerrik,Peter Slagter,139
Per Musiker,Peter Slagter,139
Jerrik,Per Musiker,141
Jerrik,Per,142
Jerrik,Per,142
Jerrik,Per,142
Jerrik,Per,142
Per,Per Musiker,143
Jerrik,Per Musiker,143
Jerrik,Per Musiker,143
Jerrik,Per Musiker,147
Per,Per Musiker,147
Jerrik,Per Musiker,151
Jerrik,Per,154
Jerrik,Per Musiker,156
Gud,Jerrik,157
Jerrik,Per,158
Jerrik,Per,158
Jerrik,Per Musiker,159
Per,Per Musiker,159
Jerrik,lian,160
Jerrik,Per,163
Jerrik,Per,164
Jerrik,Per,167
Gud,Per,167
Jerrik,Per,168
Jerrik,Per Musiker,169
Jerrik,Per,170
Jerrik,Per,172
Jerrik,Per,174
Jerrik,Per Musiker,177
Jerrik,ban,182
Jerrik,ban,182
Jerrik,Thji,187
Jerrik,thji,187
Jerrik,Per,189
Jerrik,Per,190
Jerrik,thji,194
Jerrik,thji,194
Jerrik,Mariane,196
Jerrik,Mariane,200
Jerrik,Mariane,200
Jerrik,Søren Vinter,201
Jerrik,Søren,201
Jerrik,Søren,201
Jerrik,Søren Vinter,202
Søren,Søren Vinter,202
Jerrik,Søren Vinter,203
Jerrik,Søren Vinter,203
Jerrik,Søren,203
Jerrik,Mariane,204
Jerrik,Mariane,205
Mariane,Søren Vinter,205
Søren,Søren Vinter,205
Mariane,Søren,205
Jerrik,Mariane,205
Erik,Mariane,206
Erik,Jerrik,206
Jerrik,Mariane,206
Mariane,Pierrer,206
Jerrik,Pierrer,206
Jerrik,Søren,210
Jerrik,Søren,210
Søren,livor,211
Jerrik,Søren,214
Jerrik,Søren,219
Jerrik,Søren,224
Jerrik,Søren Vinter,229
Jerrik,Søren,229
Jerrik,Søren,230
Jerrik,Søren,235
Gud,Jerrik,237
Jerrik,Søren,238
Jerrik,Søren,240
Jerrik,Søren,241
Gud,Søren,241
Gud,Jerrik,241
Jerrik,Kren Nedergaard,242
Jerrik,Kren Nedergaard,242
Jerrik,Kren Nedergaard,242
Dorte Nedergaard,Kren Nedergaard,242
Dorte,Jerrik,245
Dorte Nørby,Jerrik,246
Jerrik,Søren Vinter,247
Karl,Søren Vinter,247
Dorte Nørby,Jerrik,248
Jerrik,Per Musiker,249
Jerrik,Per Musiker,249
Jerrik,moene,249
Dorte Nørby,Jerrik,250
Gud,Per Musiker,252
Else Marie,bun,254
Else Marie,Gud,256
Else Marie,Terkel Hedegaard,258
Else Marie,Terkel Hedegaard,258
Niels Hedegaard,Terkel Hedegaard,258
Eidsager,Terkel Hedegaard,260
Else Marie,Terkel Hedegaard,260
Niels Hedegaard,Terkel,261
Niels Hedegaard,Terkel,261
Ellen,Niels Hedegaard,262
Ellen,Terkel,262
Else Marie,Per Musiker,263
JeS,Per,264
Else Marie,Jerrik Hejre,268
Jerrik Hejre,Per Musiker,268
Else Marie,Per Musiker,268
Else Marie,Jørgen Hejre,268
Gud,Jørgen Hejre,268
Gud,Jerrik Hejre,268
Anders,Dorte Nørby,271
Anders Nørby,Dorte Nørby,272
Dorte Nørby,Ellen Nørby,272
Ellen Nørby,Jep,272
Dorte,Per,276
Dorte Nørby,Mary,279
Anders Nørby,Dorte,283
Anders,Gud,284
Anders,Per Musiker,284
Dorte Nørby,Per,285
Else Marie,Per Musiker,290
Gud,Per,295
Else Marie,Plan,302
Johannes,Per Musiker,304
Dorte Nørby,Graad,317
Jerrik Hejre,Per Musiker,318
Gud,Per,320
Gud,Per Musiker,321
Gud,Ole,331
Gud,Per,331
Gud,Per,331
Dorte,Ellen,338
Dorte Nørby,Ellen,340
Dorte Nørby,Ellen,342
Magreth,Ole,353
Ole,lian,377
Ole,sky,389
Ole,sky,389
Graad,Ole,389
Ole,Per Musiker,392
Die,Per Musiker,392
Die,Ole,392
Elias,Gud,393
Ole,Volle,400
Gud,Ole,414
Ole,Volle,416
Gud,nied,419
Gud,Per Musiker,430
Per Musiker,Peter Slagter,431
Ole,Per Musiker,449
Else Marie,Terkel Hedegaard,450
Per Musiker,Terkel,451
Else Marie,Terkel,451
Else Marie,Terkel,451
Else Marie,Terkel,456
Else Marie,Terkel Hedegaard,460
Else Marie,Terkel,467
Niels Hedegaard,Terkel,468
Else Marie,Terkel Hedegaard,473
Niels Hedegaard,Terkel,494
Ellen,Niels Hedegaard,497
Ellen,Per Musiker,499
Dorte Nørby,Ellen,500
Ellen,Mary,500
Ellen,Mary,500
Ellen,Mary,500
Dorte,Ellen,501
Ellen,Per Musiker,501
Gud,Per Musiker,501
Gud,Ole,501
Ellen,Niels Fledegaard,503
Ellen,Terkel,509
Niels Hedegaard,Terkel,510
Else Marie,Niels Hedegaard,511
Niels Hedegaard,Terkel,516
Niels,Terkel,517
Niels Hedegaard,Per Musiker,519
Per,Terkel,520
Niels Hedegaard,Per Musiker,525
Niels Hedegaard,Per Musiker,526
Niels Hedegaard,Per Musiker,526
Per,Terkel,527
Niels Hedegaard,Pei Musiker,529
Ellen Nørby,Terkel,530
Ellen Nørby,Terkel,530
Niels Hedegaard,Terkel,530
Gud,Per,532
Else Marie,Jørgen Hejre,537
Abraham,Terkel,542
Abraham,Niels Hedegaard,542
Gud,Niels Hedegaard,542
Gud,Niels Hedegaard,551
Gud,Niels Hedegaard,552
Dorte,Gud,553
Gud,Niels Hedegaard,566
Eidsager,Niels Hedegaard,566
Niels Hedegaard,Terkel,571
Jerrik Hejre,Niels Hedegaard,574
Jerrik Hejre,Terkel,574
Niels Hedegaard,Terkel,574
Dorte Nørby,Else Marie,575
Dorte Nørby,Ellen,575
Ellen Nørby,Niels Hedegaard,577
Dorte,Niels Hedegaard,593
Ellen,Niels,594
Anders,Ellen,594
Gud,Niels,595
Dorte Nørby,Gud,595
Dorte,Ellen,598
Anders,Ellen,598
Anders,Per,598
Niels Hedegaard,Per,598
Niels Hedegaard,Terkel,598
Per,Terkel,598
Per,Terkel,598
Dorte Nørby,Ellen,600
Dorte,Ellen,600
Dorte,Jerrik Hejre,600
Anders,Jerrik Hejre,600
Anders,Niels Hedegaard,602
Niels Hedegaard,Terkel,602
Dorte,Terkel,602
Niels Hedegaard,Terkel,603
Dorte Nørby,Niels Hedegaard,605
Ellen,Niels Hedegaard,605
Ellen,Niels Hedegaard,605
Dorte Nørby,Ellen,609
Dorte,Gud,612
Gud,Niels Hedegaard,614
Ellen,Niels Hedegaard,614
Ellen,Mary,614
Anders,Dorte,620
Anders,Gud,620
Anders,Gud,620
Dorte Nørby,Ellen,622
Anders,Niels Hedegaard,623
Jerrik,Pierrens,625
Ellen,Niels Hedegaard,626
Dorte,Terkel,631
Dorte,Terkel,631
Dorte,Dorte Nørby,637
Dorte,Purr,637
Dorte Nørby,Purr,637
Dorte Nørby,Mary,637
Mary,Niels Hedegaard,637
Niels,Niels Hedegaard,637
Niels,Niels Hedegaard,639
Niels,Purr,639
Niels,Per,641
Eidsager,Niels,641
Dorte Nørhy,Per Musiker,643
Dorte Nørhy,Ellen,643
Ellen,Ole,643
Ellen,Ole,643
Ellen,Niels tledegaard,643
Ellen,Niels tledegaard,643
Ellen,Ole,643
Ellen,Ole,643
Ellen,Ole,643
Gud,Ole,643
Niels,Per,644
Niels Hedegaard,Per,648
Eidsager,Per,648
Eidsager,Terkel,648
Niels,Terkel,648
Else Marie,Peter,652
Else Marie,Terkel,652
Holmbo,Terkel,652
Eidsager,Niels Hedegaard,655
Niels Hedegaard,Per Musiker,655
Niels Hedegaard,Per Musiker,656
Niels Hedegaard,Per Musiker,656
