source,target,type,weight
Karen Daa,Skovsgaard,Undirected,1
Jens Baad,Skovsgaard,Undirected,1
Jens Baad,Karen Kjeldsdatter,Undirected,1
Dorte Vernersdatter,Karen Kjeldsdatter,Undirected,1
Dorte Vernersdatter,Svale,Undirected,1
Jens Baad,Svale,Undirected,1
Jens Baad,Magdalene,Undirected,1
Inger,Magdalene,Undirected,1
Inger,Oluf Hansen,Undirected,1
Kjeld,Oluf Hansen,Undirected,1
Kjeld Baad,Oluf,Undirected,1
Kjeld,Oluf Gaas,Undirected,2
Dorte,Kjeld,Undirected,7
Dorte Vernersdatter,Kjeld,Undirected,2
Dorte Vernersdatter,allenfals,Undirected,1
Dorte,Jens Baad,Undirected,2
Dorte,Karen,Undirected,2
Karen,hannem,Undirected,1
Dorte,svaredeJens,Undirected,1
Dorte,Hans,Undirected,1
Dorte,Malene Nielsdatter,Undirected,1
Gud,Lene,Undirected,1
Dortea,Lene,Undirected,2
Kirsten,Lene,Undirected,1
Kirsten,Mikkel Akeleje,Undirected,1
Kjeld,Mikkel Akeleje,Undirected,1
Kjeld,Malene,Undirected,1
Kjeld,Oluf,Undirected,5
Elsebe,Oluf,Undirected,1
Dorte,Gud,Undirected,2
Gud,Hans Mouritsens,Undirected,2
Elsebe,Gud,Undirected,1
Dorte,Jens,Undirected,2
Dorte,Kirsten Hvas,Undirected,2
Kirsten Hvas,Nedergaard,Undirected,1
Dorte,Kirsten Hvasses,Undirected,1
Kirsten Hvasses,Sofie Urne,Undirected,1
Grete,Sofie Urne,Undirected,1
Grete,Knud Mikkelsen,Undirected,1
Dorte,Knud Mikkelsen,Undirected,1
Jens,Kjeld,Undirected,9
Kirsten,Kjeld,Undirected,14
Jens,Krabbe,Undirected,1
Karen Akeleje,Kirsten Hvas,Undirected,1
Knud Mikkelsen,Mikkel,Undirected,1
Kirsten Hvas,Mikkel,Undirected,1
Jens Baad,Kirsten Hvas,Undirected,2
Jenses,Knud Mikkelsen,Undirected,1
Jenses,Nedergaard,Undirected,1
Jens,Knud,Undirected,5
Hans,Knud Mikkelsen,Undirected,1
Knud,Knud Mikkelsen,Undirected,1
Dorte,Hans Daa,Undirected,1
Dorte,Karen Jens Baads,Undirected,2
Grete,Knud,Undirected,1
Jenses,Møllegaard,Undirected,1
Dorte,Knud,Undirected,1
Dorte,Grete,Undirected,1
Grete,Kirsten,Undirected,1
Dorte,Kirsten,Undirected,6
Hans,Kirsten,Undirected,1
Kirsten,Knud Mikkelsen,Undirected,2
Jens Baad,Kjeld,Undirected,1
Mikkel,Oluf,Undirected,3
Karen Jens Baads,Mikkel,Undirected,1
Karen Akeleje,Kjeld,Undirected,3
Karen,Kirsten Hvas,Undirected,2
Dorte,Klingstrupfrue,Undirected,1
Karen,Kirsten,Undirected,8
Møllegaard,Povl Dyrskytte,Undirected,1
Margrete,Møllegaard,Undirected,1
Dorte,Hans Jørgensen,Undirected,1
Dorte Vernersdatter,Hans Jørgensen,Undirected,1
Dorte Vernersdatter,Møllegaard,Undirected,1
Karen,Kjeld,Undirected,35
Kjeld,Mikkel,Undirected,1
Karen Akeleje,Kirsten,Undirected,1
Niels Hendriksen Sandberg,Søren Gaas,Undirected,1
Morten,strunk,Undirected,1
Esben Ellegaard,Møllegaard,Undirected,4
Esben,Morten,Undirected,14
Morten Foged,Møllegaard,Undirected,2
Morten,Morten Foged,Undirected,1
Krogagergaard,Morten,Undirected,2
Else,Morten,Undirected,12
