source,target,timestamp
Niels Krabbe,Otto Ludvig,2
Munks,Otto Ludvig,2
Niels,liun,6
Krabbe,Niels,6
Krabbe,Niels,6
Gud,Niels,10
Niels Krabbe,Tilly,11
Kirsten Munk,Niels Krabbe,12
Lykke,Qvitzovs,13
Pernille,Qvitzovs,13
Pernille Qvitzov,Sofie Elisabet,14
Anne Katrine,Sofie Elisabet,14
Anne Katrine,Leonora Kristina,14
Leonora,Marsvins,15
Leonora,Sofie Elisabet,15
Sofie Elisabet,Valdemar Kristian,15
Sofie Hedevig,Valdemar Kristian,15
Ernst Casimir,Sofie Hedevig,15
Anne Katrine,Leonora,16
Anne,Leonora,18
Anne,Leonora,18
Leonora,Marie Katrine,18
Leonora,Marie Katrine,18
Anne Katrine bluedes,Leonora,19
Anne Katrine,Leonora,22
Leonora,stum,26
Leonora,stum,26
Anne Katrine,Leonora,26
Leonora,Sofie,28
Elisabet,Sofie,28
Elisabet,Pernille,28
Anne,Leonora,29
Frants,Leonora,29
Anne,Leonora,31
Kristian Pentz,Sofie,33
Kristian Pentz,Leonora,33
Korfits Ulfeldt,Leonora,33
Jacob Ulfeldt,Korfits Ulfeldt,33
Frants Rantzau,Jacob Ulfeldt,33
Frants Rantzau,Ulfeldt,33
Leonora,Ulfeldt,33
Morits,Sofie Elisabet,34
Morits,Sofie,34
Leonora,Sofie,34
Anne Katrine,Leonora,34
Anne,Morits,35
Gud,Leonora,36
Anne,Leonora,39
Anne,Grev Morits,39
Leonora,Morits,41
Anne,Morits,41
Anne,Grev Wilhelm,41
Grev Wilhelm,Morits,41
Anne,Wilhelm,42
Leonora,Morits,43
Anne,Morits,43
Anne,Morits,43
Anne Katrine,Vams,44
Marelokken,Vams,44
Anne Katrine,Ulrik,45
Korfits Ulfeldt,Ulrik,45
Frants Rantzau,Korfits Ulfeldt,45
Anne,Frants Rantzau,45
Anne,Lykke,45
Lykke,Sofie Elisabet,45
Pernille Qvitzov,Sofie Elisabet,45
Leonora,Ulfeldt,46
Leonora,Ulfeldt,46
Anne Katrine,Leonora,46
Anne Katrine,Ulfeldt,46
Leonora,Ulfeldt,46
Leonora,Ulrik,46
Elisabet Augusta,Kristiane,48
Hedevig,Kristiane,48
Hedevig,Leonora,48
Frants,Leonora,48
Saba,Ulfeldt,49
Kong Salomo,Ulfeldt,49
Kong Salomo,ban,49
Leonora,Ulfeldt,50
Anne Katrine,Leonora,51
Anne Katrine,Morits,60
Leonora,Ulfeldt,61
Leonora,Ulfeldt,61
Morits,Ulfeldt,64
Frants Rantzau,Korfits Ulfeldt,67
Dorotea Elisabet,Korfits Ulfeldt,67
Kristian den,Vibeke Kruse,68
Kristian den,Vibeke-,69
Kruse,Vibeke-,69
Kruse,Marsvin,69
Marsvin,Vibeke Kruse,69
Vibeke,Vibeke Kruse,69
Anne Katrine,Leonora,70
Anne Katrine,Morits,70
Marie,Marie van Stersan,77
Becker,Kirsten Munk,78
Marie,Marie van Stersan,79
Lykke,Marie,85
Anna Lykke,Marie,86
Anna Lykke,Marie,87
Marie,Marie van Stersan,88
Marie,Marie van Stersau,92
Anna Lykke,Marie,92
Gud,Monsieur Becker,95
Gud,Monsieur Becker,95
Anna Lykke,Becker,102
Anna Lykke,Monsieur Becker,103
Anna Katarina,Rolf,108
Anna Katarina,Kristian Ulrik Gyldenløve,108
Karen Andersdatter,Kristian Ulrik Gyldenløve,108
Hans Ulrik Gyldenløve,Karen Andersdatter,108
Anna Lykke,Vibeke,109
Anna Lykke,Jomfru Vibeke,110
Gud,Jomfru Vibeke,110
Gud,Herren,110
Anne Katrine,Leonora,112
Anne Katrine,Fader,113
Anne,Leonora,118
Elisabet,Sofie,121
Elisabet,Sofie,121
Lykke,Sofie,122
Lykke,Sofie,122
Grev Valdemars,hans,126
Grev Valdemars,Hans von Lichtenberg,126
Lykke,hain,127
Karl,Volters,132
Karl,Volters,132
Karl,Volters,132
Ritmester,Volters,134
Karl,Sofie Elisabet,135
Lykke,Sofie,136
Elisabet,Sofie,136
Markvard,Volters,137
Niels Krabbe,Ulrik,142
Anna Lykke,Niels Krabbe,142
Anna Lykke,Grev Valdemar Kristian.,142
Anna Lykke,Kasper,145
Anna Lykke,Graad,145
Kasper,Leonora,146
Sofie Elisabet,Valdemar Kristian,152
Leonora,Sofie Elisabet,152
Leonora,Lykke,152
Iver Vind.,Lykke,154
Anna Lykke,Marsvin,159
Lichtenberg,Valdemar,162
Leonora,Lykke,164
Karen Sehested,Lykke,164
Karen Sehested,Tyge Kruses,164
Leonora,Tyge Kruses,164
Leonora,Sofie,164
Anne Katrine,Sofie,164
Pernille Qvitzov,Vibeke Kruse,165
Kristian den,Sofie Elisabet,166
Leonora,Sofie Elisabet,166
Kristiane,Leonora,166
Hedevig,Kristiane,166
Elisabet Augusta,Hedevig,166
Elisabet Augusta,Pernille Qvitzov,166
Anne Katrine,Pernille Qvitzov,166
Anne Katrine,Sofie,167
Pernille,Sofie,167
Elisabet,Pernille,167
Elisabet,Leonora,167
