source,target,type,weight
Herrnhuterpiges,Leopold Kieler,Undirected,1
Helene,Helenes,Undirected,1
Helene,Helene Husly,Undirected,1
Beck,Helene,Undirected,2
Jansen,Køjs,Undirected,1
Helene,Richard,Undirected,25
Jansen,Richard Jansen,Undirected,1
Guds,Jansen,Undirected,1
Helene,Linde,Undirected,1
Gud,Linde,Undirected,1
Helene,t,Undirected,1
Helene,Kommandoraab,Undirected,1
Kurste,Niels Byrum,Undirected,1
Niels Byrum,Richard Jansen,Undirected,1
Asen,Gud,Undirected,1
Fiirste,Helene,Undirected,1
Helene,Richard Jansen,Undirected,8
Ftirste,Jansen,Undirected,1
Kaptajn Fiirste,Richard,Undirected,1
Forste,Helene,Undirected,1
Helene,brengens,Undirected,1
Beeks,be,Undirected,1
Jansen,Richard,Undirected,1
Gud,lille Helene,Undirected,1
Furste,Richard Jansen,Undirected,1
Deboras,palåse,Undirected,1
Deboras,Simon,Undirected,1
Apollo,Debora,Undirected,1
Apollo,Simon,Undirected,1
Kieler,Simon,Undirected,4
Jonathan,Peter,Undirected,2
Jonathan,Richard,Undirected,1
Richard,Vallø,Undirected,1
Petra,Vallø,Undirected,5
Jonathan,Pluto,Undirected,2
Jonathan,hans Margrethe,Undirected,1
Gitta,Jonathan,Undirected,1
Jonathan,Margrethe,Undirected,1
Gud,Kieler,Undirected,2
Fru Vallø,Richard Jansen,Undirected,1
Fru Vallø,sorn,Undirected,1
Peter,Richard,Undirected,2
Ap,Pujorsarnek,Undirected,1
Ap,pujorsarnek,Undirected,1
Boas,Jansen,Undirected,1
Boas,Umiak,Undirected,2
Boas,Richard,Undirected,4
Aare,Boas,Undirected,1
Aare,Gud,Undirected,1
Rachel,Richard,Undirected,3
Jansen,Rachel,Undirected,1
Helene Vater,Leopold Kieler,Undirected,1
Leopold Kieler,Richard Jansen,Undirected,1
Richard,Richard Jansen,Undirected,2
Boas,Kieler,Undirected,1
Gud,Helene,Undirected,3
Jansen,Peter,Undirected,1
Judith,saagu,Undirected,1
Gud,saagu,Undirected,1
Gud,Rebekka,Undirected,1
Rebekka,paany,Undirected,1
Rebekka,Richard,Undirected,5
Helene,Maanelys,Undirected,1
Helene,Kieler,Undirected,2
Petra,Richard,Undirected,1
Helene,Petra,Undirected,1
Helene,Helene Vater,Undirected,2
Jansen,Rebekka,Undirected,2
Jansen,Michael Lybert,Undirected,1
Helene,Rebekka,Undirected,5
Helene,Petra Vallø,Undirected,1
Bjarne,Lejf,Undirected,1
Lejf,Thorkil,Undirected,1
Anders Olsen,Julianehaabs,Undirected,1
Birgitte,Hejda,Undirected,1
Michael,Regine,Undirected,1
Birgitte,Michael,Undirected,1
Jacob,Regina,Undirected,2
Birgitte,Jacob,Undirected,1
Jacob,Rebekka,Undirected,5
Petrus,Petrus Lybert,Undirected,1
Petrus,Rebekka,Undirected,4
Petrus,Richard,Undirected,1
Jacob,Richard,Undirected,1
Jacob humpende,lille Birgitte,Undirected,1
Birgitte,Rebekka,Undirected,1
Jacob,Michael,Undirected,1
Michael,Regina,Undirected,1
Elias,Rebekka,Undirected,4
Rebekka,Regina,Undirected,10
Elias,Regina,Undirected,1
Regina,Susavok,Undirected,1
Helene Vater,Rebekka,Undirected,1
Anna,Helene,Undirected,9
Frederik,Gud,Undirected,1
Frederik,Petra,Undirected,1
Peter,Petra,Undirected,1
Helene,Jacta est alea,Undirected,1
Helene,Peter Vallø,Undirected,1
Olsen,Peter,Undirected,1
Olsen,Peter OlsenWallø,Undirected,1
Peter,Vallø,Undirected,1
Peter,Petra Vallø,Undirected,1
Gud,Richard,Undirected,1
Gud,Peter,Undirected,1
Frederik,Helene,Undirected,2
Frederik,Markus,Undirected,1
Helene,Markus,Undirected,1
Helene,skoggerlo,Undirected,1
Frederik,skoggerlo,Undirected,1
Elvmundingen,Richard,Undirected,1
Helene,Hr. Jansen,Undirected,2
Helene,lille Helene,Undirected,2
Regina,Vallø,Undirected,1
Peter Olsen Vallø,Richard,Undirected,1
Anna,Helene skelmsk,Undirected,1
Elven,Helene,Undirected,2
Gud,Leopold Kieler,Undirected,1
Broder Leopold,Leopold Kieler,Undirected,1
Staallaas,Straa,Undirected,1
Helene Vater,Straa,Undirected,1
Helene,Leopold Kieler,Undirected,1
Jkke,Leopold,Undirected,1
Elias,Helene,Undirected,1
Helene,Jansen,Undirected,1
