source,target,timestamp
Gud,lians,8
William,njMin,18
Volmar,William,20
William,n,22
k,n,22
Volmar,William,23
William,hain,23
Volmar,hain,23
William,raadvild,24
Johnsen,William,26
Volmar,William,27
Hagen,Volmar,27
Marsch,rman,29
Titø,sffop,33
Titø,Volmar,33
William,jW,38
Giisse,William,39
William,nf,39
WilliamJ,nf,39
WilliamJ,r,39
.,r,39
idetf Williams,raa Bølle,40
Volmar,William,42
Jr.,William —,45
Jr.,j,45
Volmar,William,46
Jette,Volmar,46
Jette,Volmar,46
JnRødeiiRosea-,Volmar,46
JnRødeiiRosea-,tstodiill,46
jdegIIyaWae,tstodiill,46
jdegIIyaWae,jgjenpemkf^,46
Elisabet,Volmar,47
Volmar,j,47
j,øhlenschlægers,47
Jen RoseG,Volmar,48
JMen,Jen RoseG,48
JMen,Volmar,48
Volmar,jlan,48
J .v,jlan,48
. el,J .v,48
. el,Elisabeth,48
Elisabet,Volmal,52
Elisabet,ebnlff,52
KkAM,olmod,55
Elisabet,Volmar,56
Volmar,William,56
Volmar,William,57
Sky,irsgbu,60
aib,irsgbu,60
sbnegaxi,uobaJ,61
Elisabet,Mihde.f,62
.Wffiaab T den1,Elisabet,62
beJA,ebneisamæ,63
/jlMasJ,dfjdet,64
William,dfjdet,64
Volmar,William,65
Paany gjenfødek,Volmar,67
J,Villiams,69
Volmar,William,73
Elisabet,yar Volmar,74
mbd Elisabet,yar Volmar,74
Elisabeth,ril,75
Hnn,jHun,76
jHun,jp,76
jblev,jp,76
Jan,elf,83
Volmar,elf,83
^ypeiy,jhan,88
^ypeiy,j,88
,William,90
',J,92
',William,92
Elisabet,William,95
Elisabet,Haabets,95
irtubm,t. Williams,101
William,irtubm,101
.Lapsenfsatte,William,107
William,i,108
J,Lapsen,109
jw,yibb'n,110
. Deoryger,Wi11iam,111
William,d,112
anne,d,112
William,anne,112
William,j,112
j,tom,112
Elisabet,William,117
Elisabet,j,117
Elisabet,j,117
Volmar,heiitld^,118
Elisnbets,heiitld^,118
Elisnbets,lian,118
Hammerstrøm,William,119
Elisabet,Hammerstrøm,119
Hammerstrøm,Volmar,120
Elisabet,William,122
Svend,jmn,123
Mette,jmn,123
Mette,hW'SjslttøvstedebSEm,123
Gud,hW'SjslttøvstedebSEm,123
Volmar,William,134
Hammerstrøm,William,137
Hammerstrøm,William,137
William,naa Williams,139
hans,j,140
Volmar,wehdte,141
Wilbams,William,142
VoMar,Wilbams,142
Ann,Hammerstrøm,149
Ann,Wog,149
Volmar,William,152
William,lille William,152
Volmar,William,153
William,sirt,154
Hdand,sirt,154
William,oveF,155
Volmar,William,156
Alen,Gud,162
hviske^ekan,j,167
h,yaeHan,169
derphai,h,169
c,jøre,171
-jk,Fisker Ole,178
-jk,William,178
Karls,William,178
Sten-Ole,bvm,179
Sten-Ole,William,180
William,sagde-Ole,180
Aled,William,182
Oles,William,182
Ole,Oles,182
Sten-Ole,William,183
Ole,William,186
Ole,William,188
Ole,William,194
Sten-Ole,William,200
Elisabet,ÅVilliam,203
Elisabet,Volmar,203
Ole,Volmar,203
Jepsen,Ole,203
Ane,Sten-Ole,209
Sten-Ole,William,209
Herman,William,209
Jens,William,218
Jepsen,Sten-Ole,219
Elisabet,Jepsen,219
Elisabet,Volmar,219
Lise,William,225
Jens,William,229
,Jens,229
,Jens,229
Jens,Marie,229
Gud,Marie,229
Gud,William,229
Jens,William,230
Jens,Marie,230
Elisabet,Marie,230
Braadden,William,234
Jens,Marie,237
Lise,Marie,237
Lise,William,237
Jens,William,241
William,ban,244
Elisabet,William,246
Jens,William,247
Jens,William,247
Jens,Marie,247
Jens,William,255
Lise,Marie,257
AVilliam,Marie,257
Lise,Marie,265
AVilliam,Alange,269
Smith,William,276
Jenny,nol,280
Jenny,lille Jenny,284
Smith,William,306
crdeu,oiukriug,312
Alan,Aland,319
AVilliam,Alen Smith,324
AVilliam,Jenny,326
Jenny,enny,326
AVilliam,Smith,327
Smith,William,327
William,lille Jenny,327
Elisabet cg,Volmar,328
AVilliam,Elisabet cg,328
AVilliam,Jenny,328
Fru Smith,William,334
Jenny,William,336
Gud^,William,337
Gud,Gud^,337
Jesus Krist,Krist,341
Elisabet,William,345
Elisabet,William,346
Elisabet,Volmar,346
