source,target,timestamp
Berthier,Junot,1
Berthier,Madame la Gouverneuse,1
Caroline Murat,Cleve,3
Cleve,Junot,3
Junot,Laurette,7
Joachim,Laurette,7
Caroline,Joachim,8
Junot,kejs,10
Caroline,kejs,10
Madame Junot,Venus,12
Caroline,Laure Junot,15
Caroline,Madame Junot,17
Austerlitz,Berg,18
Berg,Cleve,18
Junot,Montbreton,20
Chapelle,Monseigneur,22
Caroline,Madame Junot,28
Madame Junot,Nicolo Isouard,32
Camilla,Nicolo Isouard,32
Camilla,Junot,32
Caroline,Junot,32
Caroline,Junot,32
Madame Junot,Ouvrard,35
Junot,Madame Junot,36
Junot,Madame Junot,43
Junot,Madame Junot,43
Grand-Officier de l,Junot,43
Grand-Officier de l,la cour de Lisbonne,43
Louis XIV,Madame Junot,45
Louis,Madame Junot,46
Berg,Louis,46
Berg,Brutus,46
Brutus,Torquatus,46
Clichy,Torquatus,46
Louis,Madame Junot,47
Henri IV-Baret,Madame Junot,48
Henri IV-Baret,Madame Junot,48
le gouverneur de Paris,recevait seul,50
le gouverneur,recevait seul,50
Borghese,Cæsars,51
Bonaparte,Toulons,55
Bonaparte,Junot,55
Bonaparte,Junot,55
Bonaparte,Junot,55
Bonaparte,Junot,55
Bonaparte,Junot,55
Bonaparte,Junot,55
Bonaparte,Madame Lætitia,55
Madame Lætitia,Pauline,55
Caroline,Pauline,55
Caroline,Mademoiselle Permon,55
Junot,Mademoiselle Permon,55
Junot,Murats,55
Caroline,Murats,55
Caroline,Junot,55
Junot,Paulette,55
Laurette,Paulette,55
Junot,Laurette,55
Junot,kejs,55
Junot,kejs,55
Junot,kejs,60
Caroline,Paulette,62
Laurette,de Talleyrand,68
Junot,Laurette,71
Junot,Laurette,78
Junot,d’,78
de la Valette,d’,78
Junot,de la Valette,78
Junot,Madame Bonaparte,78
Laurette,Madame Bonaparte,78
Laurette,Madame Junot,78
Madame Junot,Mademoiselle Avrillon,79
Caroline,Laurette,81
Caroline,Junot,81
Madame Junot,Mademoiselle Avrillon,82
Laurette,Madame Junot,82
Caroline,Laurette,87
Caroline,Madame Junot,88
Bonaparte,Caroline,88
Bonaparte,Laurette,88
Laurette,Prinsesse Borgheses,88
Caroline,Laurette,89
Laurette,Madame Junot,89
Caroline Murat,Gud,90
Gud,Madame Junot,90
Madame Junot,jo,92
Junot,Madame Junot,92
Bonaparte,Gud,94
Laurette,Madame Junot,96
Achilles,Laurette,96
Achilles,Madame Loir,96
Laurette,Madame Loir,96
Laurette,Louis,103
Madame Junot,Raincy,104
Junot,Raincy,104
Junot,Percier,104
Fontaine,Percier,104
Madame la Duchesse de Guastalla,Pauline Borghese,105
Madame Junot,lille Laurette,106
Madame Junot,kejs,106
Junot,Laurette,108
Junot,Laurette,108
Caroline,Laurette,108
Caroline,Laurette,110
Caroline,Laurette,110
Madame Junot,Paulette,111
Junot,Laurette,113
Laurette,Monsieur Junot,115
Madame Junot,Pauline,116
Caroline,Laurette,117
Caroline,Rosina,119
Prinsesse Borghese,lille Laurette,121
Madame Junot,Pauline,122
Laure,Madame Junot,126
Borghese,Laure,130
Junot,Laurette,132
Pauline,skraa,133
Laurette,Pauline,137
Caroline,Laurette,138
Caroline,Junot,140
Caroline,Charles,142
Graad,Junot,144
Joséphine,Junot,153
Borghese,Madame Junot,155
Borghese,Caroline,155
Berg,Cleve,156
Cleve,Graad,156
Madame de,Pauline,161
Madame Junot,Madame de,161
Charles,Madame Junot,161
Caroline,Charles,161
Caroline,Junot,161
Junot,Longchatnps,161
Caroline,Longchatnps,161
Caroline,Mairen,161
Mairen,Patos,161
Hortense de Beauharnais,Patos,161
Charles,Hortense de Beauharnais,161
Caroline,Charles,162
Caroline,Monsieur de Brigode,162
Monsieur de Brigode,Monsieur de Montbreton,162
Mairen,Monsieur de Montbreton,162
Gud,véd,163
Caroline,Murats,165
Caroline,Junot,165
Junot,Laure,165
Caroline Bonaparte,Laure,165
Caroline Bonaparte,Junot,165
Junot,Laurette,165
Julie,Laurette,165
Julie,Laurette,165
Junot,Laurette,167
Dronning Julie,Laure,170
Baudelocque,Madame Frangeau,171
Caroline,Madame Junot,172
Caroline,Mademoiselle —,172
Madame de la Grange,Mademoiselle —,172
Junot,Madame de la Grange,172
Junot,Madame de la,173
Madame Junot,Mademoiselle de la Grange,175
Junot,Madame Junot,176
Louis de Narbonne,Madame Marmont,181
Madame Marmont,Madame de Zayonscheck,181
Madame Junot,Madame de Zayonscheck,181
Kardinal Maury,Sultan Selim,182
Berg,Kardinal Maury,182
Berg,Cleve,182
Cleve,Hertug Aubusson de La Feuillade,182
Kardinal Maury,Madame,184
Lannes,Madame Junot,186
Madame Junot,Madame Lannes,186
Madame Junot,Madame Lefebvre,190
Junot,Madame Lefebvre,190
Junot,Madame Junot,195
Madame Junot,Madame Lefebvre,196
Madame Lefebvre,Maury,196
Junot,Laurette,198
Caroline,Madame Lallemand,203
Madame Lallemand,Madame Lannes,203
Madame Junot,Marchais,209
Madame Lallemand,Marchais,209
Baudelocque,Madame Lallemand,212
Louis de Narbonne,Maury,215
Eylau,Junot,217
Eylau,Junot,217
Junot,Laure,217
Laure,Madame Junot,217
Madame Junot,Raincy,217
Raincy,jom,217
Corinne,Madame de,219
Laurette,Marengo,222
Junot,Laurette,223
Junot,Laurette,224
Alexander Erobrerens,Franz II,225
Evropa,Franz II,225
Evropa,Karl den,225
Karl den,Stores,225
Cæsars,Stores,225
Bonaparte,Cæsars,225
Bonaparte,Muhameds,225
Alexander,Luises,226
je suis fait pour gouverner,que moi seul,227
Junot,Monsieur de la Nautte-Hauterive,228
Marie Thérèse,Monsieur de la Nautte-Hauterive,228
Junot,Marie Thérèse,228
Junot,Monsieur Junot,231
Junot,Sire,233
Caroline,Madame Junot,236
Pauline,Sire,238
Junot,Murat,239
Gud,Junot,240
Junot,Savary,248
Caroline,Murat,250
Junot,Sire,256
Junot,Madame Junot,261
Gud,Junot,267
Gud,Laurette,269
Caroline,Laurette,269
Madame,Madame Junot,270
Caroline,Junot,273
Caroline,Laurette,273
Bona-parte,Laurette,279
Madame,Madame Junot,280
Junot,Madame Junot,283
Junot,Laurette,284
Laurette,Murat,284
Junot,Murat,284
Junot,Laurette,284
Camille,Laurette,286
Achilles,Laurette,286
Achilles,Camille,286
Achille,Lætitia,288
Caroline,Laurette,290
Gud,véd,291
Laurette,véd,291
Berg,Cleve,293
Cleve,Madame Junot,293
Junot,Laurette,294
Berg,Meneval,296
Berg,Cleve,296
Cleve,Duroc,296
Kaarde,Meneval,298
Caroline,Junot,307
Lannes,Ney,308
Augereau,Lannes,308
Augereau,Gud,308
Bonaparte,Gud,308
Bonaparte,Junot,308
Junot,Signora Lætitia,310
Signora Lætitia,Sire,310
Caroline,Junot,313
Beauharnais,Gud,314
Beauharnais,Louis,314
Achille,Louis,314
Caroline,Gud,315
Gud,Murat,315
Louis,Murat,315
Madame Caroline,Madame Junot,316
Elisa,Junot,317
Junot,Madame Junot,320
Cæsar,Hdtel,324
Cæsar,Frochot,324
Madame Junot,Murat,327
Henri IV.s,Madame Junot,327
Henri IV.s,Madame la Gouvmeuse,327
Madame,Madame la Gouvmeuse,327
Buonapartes,Madame Junot,329
Buonapartes,Madame Junot,329
Junot,Murat,333
Junot,Murat,334
Baal,Murat,334
Junot,Serail,339
Madame Junot,Murat,341
Madame,Monseigneur,343
Dubois,Martin,346
Dubois,Monseigneur,346
Madame de Lalligant,Monseigneur,346
Dubelloy,Madame de Lalligant,346
Duroc,Laurette,347
Dubois,Martin,349
Catherine,Junot,351
Catherine,Junot,351
Junot,Madame Junot,351
Gud,Laurette,361
Gud,véd,363
Bonaparte,Junot,368
Junot,Madame Junot,370
Madame Junot,Marguerite,374
Laurette,Marguerite,374
Junot,Laurette,374
Eliza,Junot,374
Eliza,Madame Junot,374
Gud,Madame Junot,374
Gud,véd,374
Bourgognes,Catherine,375
Madame Junot,Madame de Luçay,377
Hr. v. Wintzingerode,Laurette,380
Catherine,Madame Junot,382
Junot,Madame Junot,382
Junot,Raincy,382
Madame Junot,Raincy,391
Junot,Raincy,393
Berg,Raincy,393
Berg,Kong Jérômes,393
Kong Jérômes,Madame Junot,393
Madame Junot,esprit,393
Madame Junot,Pauline,394
Bonaparte,Junot,395
Laurette,Signora Panoria,397
Junot,Pauline,400
Berg,Cleve,404
Cleve,Talleyrand,404
Kong Joseph,Talleyrand,404
Kong Joseph,Talleyrand,404
Monsieur de Talleyrand,sois,407
Talleyrand,sois,407
Murat,Talleyrand,407
Caroline,Metternich,414
Berg,Junot,418
Berg,Laurette,418
Junot,Laurette,418
Junot,Metternich,419
Junot,Metternich,421
Junot,Metternich,422
Husardolmans,Junot,423
Husardolmans,Metternich,423
Caroline,Metternich,423
Junot,Metternich,426
Caroline,Hr. v. Metternich,427
Madame,Monseigneur,428
Duroc,Laurette,429
Duroc,Junot,430
Gud,Junot,431
Gud,Laurette,434
Duroc,Gud,434
Duroc,Madame Walewska,434
Madame Gazani,Madame Walewska,434
Duroc,Junot,435
Duroc,Madame Junot,436
Madame,Madame Junot,436
Madame,Madame Walewska,436
Duroc,Junot,439
Duroc,Laurette,439
Duroc,Gud,440
Duroc,Madame,441
Duroc,Junot,441
Duroc,Laure,443
Duroc,Madame Junot,447
Junot,Madame Louis,452
Duroc,Hortense,453
Duroc,Madame Junot,455
Duroes,Madame Junot,460
Duroc,Junot,461
Duroc,Madame Junot,463
Duroc,Junot,467
Duroc,Gud,468
Duroc,Junot,468
Duroes,Laurette,469
Gud,Junot,484
Bonaparte,Gud,484
Bonaparte,Madame Bonaparte,484
Louis XIV,Westphalens,486
Julie,Louis XIV,486
Julie,Pauline,486
Constans,Roustam,487
Meneval,Roustam,487
Hr. Canning,Meneval,492
Junot,ban,493
Alexander,Savary,494
Alexander,Romanzoff,494
Metternich,Romanzoff,494
Friedrich Wilhelm,Metternich,494
Friedrich Wilhelm,Junot,494
Gud,Junot,499
Junot,Sire,502
Gud,Junot,505
Carl IV,Junot,507
Arcole,Junot,510
Arcole,Lonato,510
Butard,Madame la gouver-neuse,521
Junot,Laurette,525
Junot,Madame Junot,525
Madame,Madame Laurette,529
Junot,Madame Junot,530
Junot,Sire,531
Franchard —,Junot,537
Eurydice,Franchard —,537
Esprit,dern,540
Franz’,lila,541
Caroline,Mademoiselle de la Grange,542
Duroc,l’,544
Rossos,l’,544
Pauline,Rossos,544
Borghese,Pauline,544
Borghese,Caroline,544
Caroline,Madame de Canisy,544
Madame de Canisy,Murat,544
Junot,Murat,544
Cleve,Junot,544
Cleve,Pauline,544
Junot,Pauline,544
Caroline,Junot,544
Junot,Madame Junot,549
Duroc,Junot,549
Junot,hans,551
Junot,slaa,551
Junot,Laurette,553
Junot,Laurette,560
Junot,Laurette,563
Junot,Laurette,577
