source,target,timestamp
Ikarios,Penelopeias,1
Odysseus,Penelopeias,1
Melissa,Periandros,15
Melissa,kjær,15
Penthilos,Philolaos,19
Penthilos,Praxilla,19
Penthilos,Praxilla,19
Penthilos,Philolaos,19
Flun,liun,23
Hera,liun,23
Kleta,Tiasa,24
Kleta,Livor,24
Antippos,Tiasa,31
Apollon,Tiasa,31
Lilles,Tiasa,35
Hermione,Tiasa,36
Aglaura,Helenas,38
Aglaura,Tiasa,40
Aglaura,Tiasa,40
Hypertelea,Zeus,43
Helenas,Hypertelea,43
Aglaura,Tiasa,44
Aglaura,Elektra,45
Kleta,Menekrates,49
Helenafest,Menekrates,49
Helenafest,Hermione,49
Alkibiades,Hellas,52
Alkibiades,Amykla,52
Amykla,Malicha,52
Diogitons,Malicha,52
Lampito,Philolaos,53
Anakreon,Lampito,54
Chimæra,Philolaos,55
Chimæra,Doryssos,55
Doryssos,kjær,55
Lampito,kjær,55
Lampito,Philolaos,56
Lampito,Lasos,62
Doryssos,Lasos,63
Doryssos,Mothaken,63
Doryssos,Mothaken,63
Doryssos,Lasos,63
Lasos,Mothaken,63
Lampito,Mothaken,63
Lampito,Lasos,63
Lampito,Lasos,63
Argeia,Aristodemos,67
Mothaken,Panites,70
Argeia,Panites,70
Argeia,Eurysthenes,70
Leda,P'od,81
Helenas,Leda,81
Elektra,Tiasa,82
Eges,Menelaos,88
Aglaura,Tiasa,94
P. Mariager,Tiasa,95
Helenas,Kleta,105
Antippos,Helenas,105
Hera,Tiasa,108
Helena,Tiasa,109
Hermione,Tiasa,111
Piendes,Tiasa,111
Piendes,Tiasa,111
Kleta,Tiasa,114
Helena,Tiasa,114
Lampito,Philolaos,115
Sparta.,Ynglinge,117
Alpion Veien,Lampito,118
Lampito,Philolaos,118
Lampito,Philolaos,119
Apatagi,Mothaken,120
Lampito,Mothaken,120
Lampito,Philolaos kjær,120
Artemisia,Mardonios,133
Artemis,Philolaos,134
Poseidon Asphalios,Torve-Zeus,135
Mothaken,Tegea,136
Philolaos,Tegea,136
Philolaos,Polydoros,136
Polydoros,Zeus,136
Athene,Zeus,136
Athene,Torve-Hermes,136
Lasos,Philolaos,137
Athene Chalkiøkos,Philolaos,137
Athene,Athene Chalkiøkos,137
Lasos,Philolaos,141
Mothaken,Philolaos,142
Euoras,Philolaos,146
Euoras,Lynkeus,146
Parnon,Parnons,148
Kong Agesilaos,Kong Agesipolis,150
Mothaken,Philolaos,153
Kleombrotos,Kong Agesilaos,156
Lasos,Philolaos,158
Doryssos,Philolaos,161
Teleutia,Zeus,164
Kong Agesilaos,Zeus,164
Agesilaos,Kong Agesilaos,164
Agesilaos,Kong Agesilaos,164
Kong Agesilaos,Menekrates,164
Athamas,Philolaos,168
Philolaos,Teleutia,169
Athamas,Teleutia,174
Athamas,Plans,181
Plan,Plans,181
Haarbaand,Plan,181
Athamas,P. Mariager,187
Philolaos,Teleutia,197
Athamas,Teleutia,198
Athamas,Philolaos,200
Athamas,Teleutia,204
Athamas,Philolaos,204
Athamas,Misthos,207
Peisandros,Philolaos,213
Dorieus,Peisandros,222
Flan,Philolaos,223
Peisandros,Philolaos,224
Dorieus,Philolaos,226
Alke,Philolaos,226
Alke,PIaar,226
Alkeides,Philolaos,231
Alkeides,Hermes,231
Flan saa Lampito,Mothaken Lasos,234
Philolaos,Plan,237
Graad,Plan,237
Agesilaos,Leonidas,239
Agesilaos,Lykurgos,239
Lians,Xenares,241
Dianassa,Lians,241
Kong Agesilaos,Phlius,243
Delphion,Kong Agesilaos,244
Kleodæos,Kong Agesilaos,245
Kong Agesilaos,Phlius,245
Anaxandrides,Kleodæos,246
Choret,Jolaos,247
Choret,tom.,247
Helena,tom.,247
Dætons,Mattons,253
Karaons,Mattons,253
Karaons,Ramsetone,253
Alkeides,Philolaos,266
Iben,Philolaos,266
Iben,Philolaos,266
Alkeides,Philolaos,266
Alkeides,Tiasa,266
Blun,Kleta,267
Blun,Philolaos,267
Lampito,Philolaos,272
Peisandros,Philolaos,280
Aristeue,Doryssos,283
Doryssos,Philolaos,283
Doryssos,Philolaos,290
Alkeides,Philolaos,290
Olynthos,Phlius,291
Hellas,Phlius,291
Ephorens,Pheidon,299
Androklides,Leontides,300
Androklides,Charon,300
Charon,Philidas,300
Archias,Philidas,300
Archias,Philippos,300
Chlidon,Pheidon,305
Archias,Philidas,308
Archias,Philippos,308
Charon,Pelopidas,309
Charon,Pelopidas,309
Gissel,Pelopidas,309
Gissel,Philidas,309
Charon,Philidas,309
Charon,Philidas,309
Archias,Philidas,309
Archias,Thebens,309
Archias,Thebens,309
Archias,Charon,309
Archias ogPhilippos,Charon,309
Flypates,Leontides,310
Leontides,Pelopidas,312
Flan,Leontides,312
Flan,Pelopidas,312
Leontides,Pelopidas,312
Diokles,Dorieus,317
Gabmund,Livor,320
Diokles,Pelopidas,328
Charon,Melon,332
Pleie,Theben,337
Doryssos,Olynthos,338
Olynthos,Phlius,338
Phlius,Phokis,338
Kong Agesilaos,Phokis,338
Alkeides,Philolaos,345
Chiton,Philolaos,345
Chiton,Doryssos,345
Doryssos,Philolaos,345
Doryssos,Philolaos,347
Philolaos,Tribon,347
Lampito,Mothaken Lasos,348
Alkeides,Philolaos,349
Alkeides,Spendon,349
Molybdocheir,Spendon,349
Philolaos,Spendon,351
Philolaos,Spendon,352
Philolaos,Spendon,353
Philolaos,liun,366
Ephoren Diokles,Philolaos,368
Hyl as,Philolaos,373
Hylas,Philolaos,375
Hippeis,Hylas,375
Hippeis,Hylas,375
Ai'tas,Eispnelen,378
Ai'tas,ein,378
Diokles,ein,378
Alkeides,Philolaos,385
Alkeides,Hylas,385
Hylas,Philolaos,385
Kleta,Spendon,390
Spendon,undgaa,390
Philolaos,Spendon,392
Hylas,Philolaos,393
Hylas,Philolaos,400
Peisandros,Plold,403
Hylas,Philolaos,406
Philolaos,Spendon,408
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Flylas,Philolaos,409
Flylas,Philolaos,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,409
Philolaos,Spendon,410
Mothaken Lasos,Philolaos,412
Lasos,Philolaos,413
Hylas,Philolaos,414
Hylas,Philolaos,417
Hylas,Philolaos,417
Hylas,Philolaos,418
Alkeides,Hylas,418
Alkeides,Hylas,418
Philolaos,Spendon,419
Alkeides,Philolaos,419
Apollon,Philolaos,420
Agesilaos,Kleombrotos,422
Kleombrotos,Kleora,422
Agesilaos,Kleora,422
Agesilaos,Apolya,422
Apolya,Prolyta,422
Apollon,Bakehos,423
Bakehos,Thales,423
Alkman,Thales,423
Hylas,Philolaos,424
Bryallicha,Thyrea,425
Flvorfor,Kong Agesilaos,428
Flvorfor,Kong Kleombrotos,428
