Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Henri IV,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
sorn,0,0,0,0,5,0.1,5,0.03,5,0.1,0.08,0.21,0.05,0.16
Mathias Ulriksen,0,0,0,0,3,0.05,3,0.01,3,0.05,0.01,0.03,0.0,0.0
Mutter,0,0,0,0,3,0.05,4,0.02,3,0.05,0.05,0.13,0.01,0.03
Gad,0,0,0,0,43,1.0,140,1.0,43,1.0,0.38,1.0,0.32,1.0
Kusk,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.08,0.02,0.06
Casper Vognmand,0,0,0,0,4,0.07,4,0.02,4,0.07,0.0,0.0,0.01,0.03
Casper,0,0,0,0,3,0.05,3,0.01,3,0.05,0.03,0.08,0.01,0.03
Caspers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kresten Skrædder,0,0,0,0,5,0.1,5,0.03,5,0.1,0.04,0.11,0.02,0.06
Svend,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Julius Kjeldsen,0,0,0,0,3,0.05,5,0.03,3,0.05,0.04,0.11,0.0,0.0
Kjeldsen,0,0,0,0,19,0.43,37,0.26,19,0.43,0.22,0.58,0.08,0.25
Ludvig XVI,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.05,0.0,0.0
liam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,6,0.12,7,0.04,6,0.12,0.08,0.21,0.05,0.16
A,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Mo,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
erlillen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maren Bødkers,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
a,0,0,0,0,2,0.02,3,0.01,2,0.02,0.0,0.0,0.0,0.0
Maren Christophersen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.04,0.11,0.0,0.0
Reinhold,0,0,0,0,7,0.14,12,0.08,7,0.14,0.09,0.24,0.01,0.03
Detle,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.05,0.0,0.0
Krygers,0,0,0,0,4,0.07,4,0.02,4,0.07,0.04,0.11,0.01,0.03
Betzy,0,0,0,0,10,0.21,18,0.12,10,0.21,0.08,0.21,0.05,0.16
Svejstrup,0,0,0,0,4,0.07,8,0.05,4,0.07,0.05,0.13,0.0,0.0
Børge Svejstrups,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christian Rouhmd,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Roulund,0,0,0,0,32,0.74,86,0.61,32,0.74,0.29,0.76,0.23,0.72
ermin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Rou-lunds,0,0,0,0,5,0.1,6,0.04,5,0.1,0.06,0.16,0.02,0.06
Hylke-dams,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Frøken Roulund,0,0,0,0,6,0.12,11,0.07,6,0.12,0.08,0.21,0.02,0.06
Reinhold Gad,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.03,0.0,0.0
Ebba,0,0,0,0,29,0.67,94,0.67,29,0.67,0.28,0.74,0.14,0.44
