Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Porses,0,0,0,0,1,0.0,2,0.03,1,0.0,0.04,0.08,0.0,0.0
gud,0,0,0,0,7,0.6,9,0.26,7,0.6,0.18,0.34,0.05,0.33
fatter Porse,0,0,0,0,2,0.1,2,0.03,2,0.1,0.06,0.11,0.0,0.0
Porse,0,0,0,0,5,0.4,5,0.13,5,0.4,0.07,0.13,0.05,0.33
Don Quijote,0,0,0,0,3,0.2,3,0.06,3,0.2,0.02,0.04,0.01,0.07
Keld Porse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Nero,0,0,0,0,3,0.2,3,0.06,3,0.2,0.04,0.08,0.02,0.13
hr. Keld,0,0,0,0,3,0.2,3,0.06,3,0.2,0.02,0.04,0.01,0.07
Pickwick,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Grete,0,0,0,0,3,0.2,3,0.06,3,0.2,0.0,0.0,0.0,0.0
hr. Brink,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,3,0.2,4,0.1,3,0.2,0.19,0.36,0.03,0.2
véd,0,0,0,0,5,0.4,6,0.16,5,0.4,0.27,0.51,0.13,0.87
Keld,0,0,0,0,7,0.6,8,0.23,7,0.6,0.16,0.3,0.12,0.8
frk. Margrete,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Rhodus dér,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
malm,0,0,0,0,2,0.1,2,0.03,2,0.1,0.01,0.02,0.01,0.07
Margot,0,0,0,0,3,0.2,4,0.1,3,0.2,0.04,0.08,0.03,0.2
Homer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
frk. Margot,0,0,0,0,2,0.1,2,0.03,2,0.1,0.0,0.0,0.0,0.0
agronoms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
møre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Adam,0,0,0,0,2,0.1,2,0.03,2,0.1,0.0,0.0,0.0,0.0
keruben,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kejser Karls,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
jærn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Henrich,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
bjørnens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Allenfals,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eros,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Annette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Winthers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Klumpe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eva,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
labor callum obducit dolori,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
vita anteacta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hare,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
morten,0,0,0,0,2,0.1,2,0.03,2,0.1,0.0,0.0,0.0,0.0
Kul-Petersen,0,0,0,0,2,0.1,2,0.03,2,0.1,0.01,0.02,0.0,0.0
Fabian,0,0,0,0,9,0.8,18,0.55,9,0.8,0.01,0.02,0.01,0.07
grog,0,0,0,0,1,0.0,2,0.03,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,1,0.0,2,0.03,1,0.0,0.0,0.0,0.0,0.0
konsul Bjergs,0,0,0,0,1,0.0,2,0.03,1,0.0,0.0,0.0,0.0,0.0
doktors,0,0,0,0,1,0.0,2,0.03,1,0.0,0.0,0.0,0.0,0.0
From,0,0,0,0,1,0.0,4,0.1,1,0.0,0.0,0.0,0.0,0.0
puns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kon sulens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Flabian,0,0,0,0,1,0.0,3,0.06,1,0.0,0.0,0.0,0.0,0.0
Martens,0,0,0,0,3,0.2,3,0.06,3,0.2,0.12,0.23,0.0,0.0
olje,0,0,0,0,2,0.1,2,0.03,2,0.1,0.07,0.13,0.0,0.0
Morits Martens,0,0,0,0,2,0.1,3,0.06,2,0.1,0.05,0.09,0.01,0.07
Nelly,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
frøken Nelly,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kong Salomons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ernst,0,0,0,0,2,0.1,3,0.06,2,0.1,0.0,0.0,0.0,0.0
Marta,0,0,0,0,2,0.1,3,0.06,2,0.1,0.0,0.0,0.0,0.0
Krum,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
papa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
iland,0,0,0,0,3,0.2,4,0.1,3,0.2,0.09,0.17,0.07,0.47
karle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Peter A,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
