Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hanne,0,0,0,0,25,1.0,75,0.8,25,1.0,0.48,1.0,0.37,1.0
Jette,0,0,0,0,18,0.71,94,1.0,18,0.71,0.42,0.88,0.22,0.59
Thomas,0,0,0,0,7,0.25,15,0.15,7,0.25,0.25,0.52,0.04,0.11
Fusentasts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Gud,0,0,0,0,5,0.17,13,0.13,5,0.17,0.22,0.46,0.03,0.08
Gustav,0,0,0,0,10,0.38,49,0.52,10,0.38,0.3,0.62,0.09,0.24
Mamsel,0,0,0,0,2,0.04,2,0.01,2,0.04,0.13,0.27,0.0,0.0
Henrik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Salomon,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
Jørgen Hattemager,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Carl,0,0,0,0,11,0.42,30,0.31,11,0.42,0.3,0.62,0.11,0.3
Gustav Holm,0,0,0,0,5,0.17,7,0.06,5,0.17,0.19,0.4,0.02,0.05
Diana,0,0,0,0,2,0.04,2,0.01,2,0.04,0.07,0.15,0.03,0.08
Actæon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Mose,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Hr. Holm,0,0,0,0,6,0.21,7,0.06,6,0.21,0.21,0.44,0.03,0.08
lir. Holm,0,0,0,0,2,0.04,2,0.01,2,0.04,0.1,0.21,0.0,0.0
Iljærtelighcdcn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Marks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Holms,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.08,0.0,0.0
Døttre,0,0,0,0,3,0.08,4,0.03,3,0.08,0.09,0.19,0.01,0.03
Carl den Femte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nemesis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Donna,0,0,0,0,2,0.04,2,0.01,2,0.04,0.1,0.21,0.0,0.0
Lynild,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Fiden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
lian,0,0,0,0,2,0.04,3,0.02,2,0.04,0.13,0.27,0.0,0.0
sagdellanne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Holm,0,0,0,0,4,0.12,8,0.08,4,0.12,0.2,0.42,0.0,0.0
torsos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Lojolas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Anne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Tante,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Frøken Jettes,0,0,0,0,2,0.04,2,0.01,2,0.04,0.1,0.21,0.0,0.0
don Landløber,0,0,0,0,2,0.04,2,0.01,2,0.04,0.11,0.23,0.0,0.0
Tvede,0,0,0,0,2,0.04,3,0.02,2,0.04,0.08,0.17,0.0,0.0
Cun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Griller,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Fader,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Ilejda,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Ane,0,0,0,0,1,0.0,2,0.01,1,0.0,0.07,0.15,0.0,0.0
Dandsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
asop,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Arilds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Herre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Adolpli,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Pante,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Baggesen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
mitlljærte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ilo,0,0,0,0,1,0.0,2,0.01,1,0.0,0.01,0.02,0.0,0.0
Wachtel,0,0,0,0,2,0.04,3,0.02,2,0.04,0.06,0.12,0.03,0.08
Adolph,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Morten Frederichsen,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
crl,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
Morten,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
Sultan,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
inge,0,0,0,0,1,0.0,2,0.01,1,0.0,0.07,0.15,0.0,0.0
Kammerraad Tvede,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Ju stitsraaden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Linden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Kjønnets,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
