source,target,timestamp
Morten og,Niels Svendsens,1
Dorthe,Morten Hansen,2
Dorthe,Karen Marie Svendsen,2
Morten,Niels,3
Morten,Niels,5
Morten,Niels,6
Niels,Svend,7
Gjertrud,Niels,13
Morten,Niels,16
Niels,somme,17
Niels,somme,17
Lise,Morten,19
Morten,Niels,21
Kirsten,Morten,24
Morten,Niels,24
Flan,Morten,26
Morten,Niels,27
Morten,Svend,29
Mo,Svend,29
Kirsten,Mo,29
Morten,Niels,39
Aankel,liun,40
Aankel,Niels,40
Kirsten,Niels,40
Morten,Vorherre,43
Lian,Vorherre,43
Morten,Niels,44
Albertine,Bertha Maar,47
Bertha Maar,Plun,47
Paul M. Møller,Plun,47
F. J. Hansen,Paul M. Møller,47
Bertha,Mama,50
Bertha,Mama,50
Bertha,Svendsen,50
Bertha,Svendsen,50
Flan,Svendsen,51
Else,Frederik,53
Morten,Svendsen,55
Morten,Niels,55
Aankel,Papa,56
Kirsten,Niels,59
Morten,Niels,65
Morten Svendsen,Niels,65
Morten Svendsen,Niels,65
Morten,Niels,65
Morten,Niels,74
Aankel,Niels,76
Aankel,Bertha,77
Aankel,Bertha,78
Bertha,Papa,79
Aankel,Papa,79
Bertha,Papa,80
Aankel,Papa,80
Morten,Niels,81
Aankel,Niels,82
Aankel,Bertha,82
Bertha,Svendsen,82
Flun,Gertrud,83
Gertrud,Snip,83
Gertrud,Snip,84
Blanca,Snip,84
Gjertrud,Marietta,85
Gjertrud,Snip,85
Blanca,sorn,89
Blanca,Flan,90
Blanca,Flan,90
Blanca,Marietta,91
Blanca,Graad,94
Aage,Erik,98
Chic,Erik,99
Aage,Erik,105
Erik,Marietta,107
Bertha Maar,Svendsen,108
Bertha,Cicerone,109
Cicerone,Svendsen,109
Bertha,Svendsen,109
Bertha,Svendsen,115
Bertha,Svendsen,116
Bertha,Frederik Svendsen,117
Bertha,Erik,117
Bertha,Frederik Svendsen,119
Else,Frederik,120
Else,Frits,120
Frits,Manna,120
Bertha,Manna,120
Bertha,Blanca,120
Gjertrud,Svendsen,121
Bertha,Svendsen,121
Bertha,Blanca,124
Bertha,Paulus,125
Bertha,Paulus,125
Bertha,Gud,128
Bertha,Blanca,130
Blanca,Erik,132
Erik,Svendsen,135
Gjertrud,Marietta,148
Gjertrud,Marietta,148
Flun,Gud,149
Blanca,Marietta,150
Blanca,Marietta,152
. Svendsen,gi,154
Maar,Nanna Sturlesen,156
Heklas,Nanna Sturlesen,156
Heklas,Plun,156
Flun,Plun,156
Bertha,Erik,158
Bertha,Erik,158
Else,Erik,158
Erik,Marietta,161
Flan,Marietta,162
Bertha,Blanca,163
Erik,Frederik,164
Frederik,Zola,166
Frederik,Pascal,166
Aage,Blanca,170
Aage,Gud,178
Bertha,Frederik,182
Bertha,Frederik,182
Bertha,Erik,182
Bertha,Blanca,183
Blanca,Nanna,183
Bertha,Nanna,183
Bertha,Blanca,183
Bertha,Blanca,185
Bertha,Erik,185
Blanca,Erik,186
Erik,Frederik,186
Erik,Frederik,186
Bertha,Erik,186
Bertha,Frederik,186
Frederik,Nanna,186
Bloch,Peter,187
Kristus,Peter,187
Bertha,Kristus,187
Bertha,Frederik,190
Blanca,Erik,192
Blanca,Erik,194
Bertha,Dito,199
Bertha,Blanca,202
Flun,Kristus,205
Bertha,Blanca,210
Bertha,Blanca,210
Blanca,Erik,212
Bertha,Blanca,213
Blanca,Frederik,213
Blanca,Erik,215
Papa,Svendsen,216
Bertha,Svendsen,216
Blanca,Frederik,218
Svend,Svendsen,220
Blanca,Erik,221
Erik,Nanna,221
Erik,Gejser,226
Flvad,Hrik,230
Erik,skoggerlo,232
,skoggerlo,232
Erik,Frederik,236
Blanca,Frederik,236
Blanca,Nanna,240
Else,Nanna,241
Blanca,Else,241
Blanca,Frederik,241
Bertha,Frederik,241
Bertha,Blanca,247
Elvor,Frederik,254
Blanca,Nanna,256
Else,Maar,258
Frederik,Maar,258
Blanca,Frøken Maars,259
Frederik,Frøken Maars,259
Aage Maar,Blanca,260
Blanca,Svendsen,260
Blanca,Svendsen,260
Blanca,Frederik,260
Frederik,Frederik Svendsen,264
Aage,Erik,268
Aage,Erik,268
Blanca,Saxen,269
Blanca,Marietta,273
Frk. Maar,huu,275
Bertha Maar,Frederik Svendsen,295
Blanca,Nanna,297
Blanca,Nanna,309
Blanca,Rose,309
Marietta,Rose,309
Blanca,Else,325
Blanca,Else,327
Blanca,Theori,331
Blanca,Nanna,334
Blanca,Nanna,337
Nanna,Svendsen,337
Nanna,Svendsen,337
FIaabet,Madame Falcot,341
Frederik,Gud,343
Aage,Blanca,344
Frederik,Frue,347
Aage,Frederik,348
Blanca,Nanna,350
Frederik,Nanna,350
Nanna,Svendsen,351
Frøken Maar,Svendsen,351
Bertha,Frederik,358
Blanca,Nanna,363
Blanca,Nanna,364
Graad,Nanna,372
Nanna,Svendsen,373
Flun,Svendsen,373
Blanca,Flun,373
Dr. Maar,Frederik Svendsen,380
F. L. Mynster,Ossian,383
Bertha,Frederik,391
Bertha,Nanna,397
Bertha,Svendsen,401
Else,Frederik,403
Frederik,Frøken,405
Bertha,Svendsen,411
Frederik,Svendsen,415
Aankel,Frederik,416
Bertha,Frederik,416
Bertha,Blanca,416
Blanca,Nanna,423
Blanca,Erik,423
Erik,Nanna,425
Blanca,Erik,425
Blanca,F. S.,430
Bertha,Erik,434
Blanca,Myrther,435
Blanca,Messina,435
Maar,Messina,435
Maar,Svendsen,435
Bertha,Erik,444
Else,Erik,445
Else,Erik,447
Elselillel,Erik,448
Blanca,Marietta,451
Signora,mia cara signora,454
Marietta,mia cara signora,454
Pater,Signora,456
Antonio,Pater,456
Antonio,Signora,456
Blanca,Frederik,459
Bertha,Frederik,459
Bertha,Frederik,459
Bertha,Frederik,462
Bertha,Else,462
Blanca,Else,462
Blanca,Nanna,462
Else,Nanna,462
Graad,Mis,463
Blanca,Mis,463
Else,Manna,476
Erik,Manna,476
Elselille,Erik,476
Elselille,Manna,476
Manna,Nanna,476
Manna,Nanna,476
Frederik,Manna,476
Frederik,Gud,476
Else,Gud,476
Bertha,Erik,480
Erik,Marietta,480
Else,Marietta,480
Else,Madonna,480
Blanca,Madonna,480
Blanca,Erik,481
Else,Erik,482
Miramares,Watson,483
Blanca,Miss Watson,487
Blanca,Miss Watson,491
Blanca,Miss Watson,494
Bertha,Erik,495
Bertha,Morten,496
Bertha,Niels,496
Bertha,Niels,496
Morten,Niels,502
Morten,Niels,504
Frederik,Morten,508
Bertha,Frederik,508
Bertha,Niels,508
Betha,Niels,508
Bertha,Betha,508
Bertha,Else,508
Bertha,Else,509
Bertha,Manna,511
Morten,Niels,512
Bertha,Frederik,515
Bertha,Niels Svendsen,516
Frederik,Niels Svendsen,516
Morten,Niels,520
Morten,Niels,521
Bertha,Erik,522
Bertha,Papa,522
Morten,Papa,522
Bertha,Morten,522
Bertha,Erik,522
