source,target,type,weight
Else,Hieronimus,Undirected,17
Knut,Knuts,Undirected,1
Else,Knut,Undirected,19
Jørgen,Knut,Undirected,2
Else,saurgte,Undirected,1
Else,hækled,Undirected,2
Else,livis,Undirected,2
gud,mørk,Undirected,1
Else,åf tågedisen,Undirected,2
Else,gud,Undirected,8
Hieronimus,ilive,Undirected,2
Hieronimus,Jørgen varsom,Undirected,2
Else,Jørgen,Undirected,2
Else,Frk. Schrader,Undirected,11
Else,boaen,Undirected,1
Frk. Schrader,frk. Schrader,Undirected,1
Else,Maren,Undirected,23
Else,frk. Stenberg,Undirected,1
Hieronimus,gud,Undirected,1
Seneke,gud,Undirected,3
Maren,Seneke,Undirected,1
Maren,gud,Undirected,1
Seneke,sjall,Undirected,3
Else,Seneke,Undirected,1
Seneke,hytted,Undirected,1
Else,stakkel,Undirected,1
Jørgen,Vibe,Undirected,1
Vibe,gud,Undirected,1
Else,Vibe,Undirected,6
Hieronimus,frk. Schrader,Undirected,1
Hieronimus,Maren,Undirected,1
Else,klora,Undirected,1
Henderson,frk. Hall,Undirected,4
Else,Idetheletat,Undirected,1
Frants,Henderson,Undirected,5
Frants,frk. Hall,Undirected,1
Flun,frk. Hall,Undirected,1
Else,nornen,Undirected,11
Else,frk. Hall,Undirected,44
Else,Henderson,Undirected,18
Else,Nornen,Undirected,6
Else,frk. Schrader,Undirected,38
Maren,nornen,Undirected,1
Else,sjall,Undirected,2
Henderson,Kant,Undirected,1
Else,sely,Undirected,1
Sejer,frk. Schrader,Undirected,1
Else,Sejer,Undirected,4
dr. Sejer,frk. Schrader,Undirected,1
Else,frk. Thomsen,Undirected,65
frk. Schrader,frk. Thomsen,Undirected,8
Henderson,frk. Thomsen,Undirected,2
Kant,frk. Thomsen,Undirected,3
Else,Frants,Undirected,2
Else,Frk. Thomsen,Undirected,8
frk. Thomsen,pegte,Undirected,1
Schrader,inge,Undirected,1
Maren,Schrader,Undirected,1
Maren,frk. Thom-,Undirected,1
Vengt,vengt,Undirected,1
Tys,frk. Thomsen,Undirected,1
Petrus,frank,Undirected,1
Else,frank,Undirected,2
Else,ilive,Undirected,1
Kant,frk. Schrader,Undirected,1
Maren,frk. Schrader,Undirected,5
Anne,Else skotted,Undirected,1
Else skotted,Maren,Undirected,1
Anne,Maren,Undirected,7
