Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bertel,0,0,0,0,4,0.3,4,0.27,4,0.3,0.01,0.02,0.0,0.0
Bjørnson,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jonas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Moses,0,0,0,0,6,0.5,6,0.45,6,0.5,0.34,0.52,0.02,0.4
Patriots,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Christian VIII,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
lians,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Bjørnstjerne Bjørnson,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
oe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Zola,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
s,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Macaulay,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tenny sons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,11,1.0,12,1.0,11,1.0,0.65,1.0,0.05,1.0
christen,0,0,0,0,1,0.0,2,0.09,1,0.0,0.18,0.28,0.0,0.0
Schopenhauer,0,0,0,0,2,0.1,2,0.09,2,0.1,0.23,0.35,0.0,0.0
Kant,0,0,0,0,2,0.1,2,0.09,2,0.1,0.16,0.25,0.0,0.0
Muhamed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Høibords,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
eine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
F.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Napoleon,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Peder Hessel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Cæsar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.18,0.28,0.0,0.0
Bismarcks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gammen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Grundtvig,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stine,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Tyksak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dito Kantebaand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter,0,0,0,0,2,0.1,2,0.09,2,0.1,0.22,0.34,0.0,0.0
Keiser,0,0,0,0,3,0.2,4,0.27,3,0.2,0.01,0.02,0.0,0.0
Wilhelm,0,0,0,0,2,0.1,3,0.18,2,0.1,0.01,0.02,0.0,0.0
Adam —,0,0,0,0,2,0.1,2,0.09,2,0.1,0.01,0.02,0.0,0.0
Mir nichts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bahnson,0,0,0,0,2,0.1,2,0.09,2,0.1,0.01,0.02,0.0,0.0
Gallifet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Adams,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Evas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Aloses,0,0,0,0,1,0.0,1,0.0,1,0.0,0.18,0.28,0.0,0.0
Madam Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
livor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.18,0.28,0.0,0.0
livis,0,0,0,0,2,0.1,2,0.09,2,0.1,0.22,0.34,0.0,0.0
Villien,0,0,0,0,2,0.1,2,0.09,2,0.1,0.12,0.18,0.0,0.0
Keiseres,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Wørth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christian I,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frederik VI,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Christian IN,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Buxer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
d,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
elfer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Judas,0,0,0,0,2,0.1,3,0.18,2,0.1,0.01,0.02,0.0,0.0
Kain,0,0,0,0,2,0.1,3,0.18,2,0.1,0.0,0.0,0.0,0.0
Adam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eva,0,0,0,0,2,0.1,2,0.09,2,0.1,0.0,0.0,0.0,0.0
Romeo,0,0,0,0,3,0.2,4,0.27,3,0.2,0.01,0.02,0.0,0.0
