source,target,timestamp
Hansen,Madam Hansen,2
Hansen,Svend,2
Andrea,Svend,3
Andrea,Mo,4
Andrea,Svend,5
Andrea Smith,Hansen,6
Hansen,Trine,7
Thorvald,Trine,7
Svend,Thorvald,7
Svend,Thorvald,8
Andrea,Hansen,9
Hansen,Thorvald,9
Hansen,Thorvald,9
Hansen,Svend,9
Andrea,Svend,9
Andrea,Madam Hansen,13
Madam Hansen,Tante,13
Andrea,Svend,29
Lind,Trine,30
Lind,Thorvald,30
Fatter,Thorvald,33
Madam Hansen,Thorvald,33
Madam Hansen,Thorvald,33
Andrea,Thorvald,39
Andrea,Svend,39
Andrea,Trine,44
Andrea,Svend,45
Andrea,Svend,55
Svend,Werner,65
Andrea,Svend,65
Andrea,Svend,66
Andrea,Svend,68
Andrea,Trine,69
Skriverhans,Trine,70
Skriverhans,atMantzius,70
Hultmann,atMantzius,70
Svend,Werner,72
Kong Frederik den syvende,Phister,76
Andrea,Svend,77
Hansen,Thorvald,78
Madam Hansen,Thorvald,78
Andrea,Svend,82
Hansen,Madam Hansen,85
Hansen,Thorvald,85
Andrea,Thorvald,85
Andrea Smith,Madam Hansen,86
Hansen,Lind,89
Jomfru Rasmussen,Lind,90
Lind,Madam Hansen,92
Svend,Werner,96
Madam Hansen,Thorvald,97
Madam Hansen,Thorvald,99
Lind,Trine,101
Svend,Trine,101
Hansen,Svend,101
Frederik den,Lind,102
Christian,Lind,104
Andrea,Svend,105
Frøken Smith,Lind,107
Svend,Werner,115
Svend,Werner,116
Lind,Werner,116
Andrea,Lind,118
Eva,Norne,121
Jomfru Lind,Lind,122
Andrea Smith,Lind,122
Andrea Smith,Lind,122
Lind,d,122
Jomfru Lind,Thomas,124
Jomfru Lind,Thomas,124
Thomas,Thomas lunds,124
Asthma,Thomas Lind,125
Andrea Smith,Anna Jensen,127
Hamiets,Yoriks,133
Ofelias,Yoriks,133
Hamlet,Ofelias,133
Hamlet,Horatio,133
Horatio,Kain,133
Hamlet,Karls,135
Karls,Yoriks,135
Hofnars,Yoriks,135
Hamlet,Hofnars,135
Hamlet,Yorik,135
Andrea,Trine,142
Andrea,Trine,142
Hansen,Thorvald,143
Thorvald,Trine,143
Svend,Trine,143
Andrea,Svend,147
Andrea,Lind,147
Andrea,Lind,150
Christian,Lind,155
Ferdinand,Lind,155
Ferdinand,Frederik den,155
Andrea,Lind,156
Kristian den,Lind,158
Charlotte Amalie,Kristian den,158
Kristian,Lind,164
Frederik,Hall,165
Hansen,Thorvald,173
Andrea,Thorvald,173
Andrea,Lind,173
Andrea,sagdeMadamHansen,174
Andrea,Hall,174
Hall,Svend,174
Frederik den sjette,Madam Hansen,175
Frederik den sjette,Kristian den,175
Mo,Svend,177
Hansen,Thorvald,178
Svend,Thorvald,178
Frederik,Svend,178
Frederik,Mortensen,178
Mortensen,lille Andrea,178
Svend,lille Andrea,178
Kristian,Svend,178
Kristian,Thorvald,178
Andrea,Lind,183
Lind,Svend,183
Svend,Werner,187
Lind,Werner,187
Lind,Svend,187
Andrea,Werner,188
Lind,Werner,188
Lind,Svend,189
Svend,Werner,190
Svend,Werner,191
Andrea,Lind,192
Andrea,Svend,193
Lind,Svend,193
Andrea,Lind,193
Svend,Werner,194
Andrea,Lind,195
