source,target,timestamp
Grev Porse,Skovsgaard,5
Heinrich,Rosa,9
Fanny,Heinrich,9
Frits,Kristine,15
Kristine,Rosa,15
Frode Fredegodes,Ravn,17
Frode Fredegodes,Møller Sørensen,17
Diana,Sultan,21
Clements,Sophus,24
Bauditz,Sophus,24
Erik Kongsted,Kongsted,34
Frits,Kristine Barnepige,37
Capitainen,ifjor,41
Brandreths,Fanny,52
Fanny,Rosa,53
Skymta,plaska,54
Fanny,Rosa,55
Christian,Skovsgaard,59
Fanny,Rosa,63
Frits,Rosa,67
Fanny,Rosa,69
Frits,Rosa,70
Bernina,Fanny,72
Fanny,Rosa,76
Fanny,Heinrich,77
Karl,Tue,84
Ane Steffens,Rosa,88
Fanny,Heiren,95
Fanny,Heinrich,99
Heinrich,Heinrich Høibro,99
Heinrich,Riis,101
Grev Porse,Riis,102
Riis,Rosa,112
Andersens,Heinrich,116
Andersens,Heinrich,116
Andersens,Guds,116
Fanny,Rosa,119
Heinrich,Rosa,119
Heinrich,Rosa,122
Fanny,Heinrich,122
Møller Sørensen,Sophus Bauditz,123
Heinrich,Rosa,124
Heinrich,Rosa,124
Fanny,Rosa,124
Fanny,Rosa,124
Anders,Rosa,125
Heinrich,Rosa,125
Heinrich,Rosa,125
Anders,Rosa,125
Karl,Marsch,127
Anders,Anders Staldkarl,128
Guds,Halvti,129
Caleschen,Guds,129
Caleschen,Sultan,129
Caleschen,Rosa,131
Høistrups,Rosa,131
Høistrups,Skovsgaard,131
Caleschen,Rosa,132
Glug,Rosa,133
Heinrich,Rosa,133
Fanny,Heinrich,133
Fanny,Tøi,133
Heinrich,Rosa,139
Fanny,Rosa,139
Guds,Rosa,141
Ingenieur Erik Kongsted,Sultan,143
Heinrich,Ole Hansen,144
Fanny,Heinrich,144
Ingenieur Kongsted,Rosa,146
Heinrich Høibro,Ingenieur Kongsted,146
Heinrich Høibro,Høibro,146
Fanny,Rosa,149
Rosa,Susanne,152
Preben Parsbjergs,Susanne,152
Kongsted,Preben Parsbjerg,153
Hjortholm,Kongsted,154
Hjortholm,Preben Parsbjerg,154
Preben Parsbjerg,Rosa,162
Heinrich,Kongsted,165
Rosa,Valdemar Atterdag,166
Heinrich,Rosa,169
Faublas,Kongsted,171
Fanny,Rosa,173
Høire,Kongsted,174
Fanny,Kongsted,175
Faublas“’s,Kongsted,175
Kongsted,Sophus Bauditz,177
Heinrich,Ingenieur Kongsted,183
Fanny,Heinrich,185
Fanny,Kongsted,194
Kongsted,Leonora Christinas,197
Eleonora Christina,Rosa,198
Eleonora Christina,Sophie Amalie,198
Sophie Amalie,Ulfeldt,198
Frederik den Tredie,Ulfeldt,198
Fanny,Rosa,201
Kongsted,Tante Rosa,202
Høibro,Rosa,205
Heinrich,Kongsted,206
Fanny,Kongsted,206
Fanny,Rosa,206
Bævreespen,Kongsted,212
Fanny,Heinrich,219
Fanny,Rosa,219
Heinrich,Rosa,228
Christian Porse,Christian —,237
Christian Porse,Fanny,237
Prip,Rosa,252
Fanny,Prip,252
Hjortholm,Rosa,258
Frits,Kristine Barnepige,261
Gud,Tante Rosa,268
Fanny,Heinrich,269
Faublas,Heinrich,280
Fanny,Faublas,280
Fanny,Moll,280
Frits,Rosa,284
Heinrich,Rosa,289
Høibro,Rosa,293
Heinrich,Høibro,293
Rosa,ifjor,294
Heinrich,ifjor,294
Høibro,Rosa,296
Møller Sørensen,Vihøi,300
