source,target,timestamp
Bertha,Julius,2
August Stilling,Laura,6
Carl,Jules,8
Carl,lille Jules,10
Carl,Jules,12
Dien,Dorthea,18
Ida,Jules,20
Carl,Ida,20
Carl,Ida,20
Elias,Ulf,23
Ida,Jules,25
Ida,Jules,25
Carl,Jules,26
Ida,Jules,28
Elias,Ida,28
Elias,Ida,28
Ida,Jules,28
Carl,Frank,29
Frank,Rikke Lange,29
Jules,Rikke Lange,29
Jules,Madam Lange,29
Carl Tilfredshed,Jules,30
Lee,Rikke,31
Rikke,Sands,31
Jules,Sands,31
Carl,Rikke,32
Adelheid,Ida sfal,33
Mama,Otto,35
Adelheid,Mama,37
Adelheid,Otto,37
Adelheid,Otto,43
Adelheid,Øtto,44
Adelheid,Frank,45
Adelheid,Ida,45
Frank,Ida,45
Frank,paany,45
Adelheid,paany,45
Adelheid,b,45
Frank,b,45
Adelheid,Frank,45
Adelheid,Otto Bretton,45
Otto Bretton,Øtto,45
Adelheid,Øtto,47
Froken Ida,Øtto,48
Froken Ida,sorn,48
Adelheid,sorn,48
Ida,blaa,49
blaa,grazies,49
Frank,Jules,50
Ida,Jules,50
Ida,Jules,50
Ida,Jules,51
Jules,Kruse,56
Beviis,Kruse,57
Beviis,Hjelm,57
Gud,Nikolai,61
Jules,Kruse,63
Jules,Marthe,69
Gud,Marthe,70
Ida,Jules,74
Adelheid,Ida,74
Adelheid,Ida,74
Carl,Hjelm,76
Jules,Lund,77
Maren,Marthe,79
Ida,Jules,80
Ida,Jules,80
Ida,Jules,80
Froken Frank,Jules,80
Bisted,Ida,81
Ida,Jules,83
Ida,Jules,83
Ida,Jules,84
Ida,Kareth,84
Adelheid,Kareth,84
Ida,Jules,86
Ida,Jules,86
Ida,Jules,88
Adelheid,Ida,88
Ida,Jules,90
Jules,Kruse,90
Jules,Kruse,90
Mosters,Stine,94
Marthe,Stine,94
Marthe,Niels,94
Gud,Niels,94
Gud,Stakkel,94
Emma,Stakkel,94
Emma,Frank,94
Frank,Ida,94
Ida,Nicolai,94
Ida,Nicolai,94
Gud,Ida,94
Gud,Ida,94
Jørgens,Marthe,95
Jørgens,Sanct,95
Jules,Sanct,95
Marthe,Riis,96
Adelheid,Jules,98
Adelheid,Øtto Bretton,98
Øtto,Øtto Bretton,98
Adelheid,Øtto,98
