Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bertha,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Julius,0,0,0,0,3,0.05,3,0.01,3,0.05,0.07,0.18,0.01,0.03
August Stilling,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Laura,0,0,0,0,3,0.05,3,0.01,3,0.05,0.05,0.13,0.01,0.03
Carl,0,0,0,0,9,0.21,17,0.12,9,0.21,0.13,0.34,0.06,0.18
Jules,0,0,0,0,40,1.0,125,0.91,40,1.0,0.38,1.0,0.34,1.0
lille Jules,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Dien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dorthea,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ida,0,0,0,0,32,0.79,138,1.0,32,0.79,0.35,0.92,0.27,0.79
Elias,0,0,0,0,2,0.03,3,0.01,2,0.03,0.03,0.08,0.01,0.03
Ulf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frank,0,0,0,0,18,0.44,49,0.35,18,0.44,0.24,0.63,0.08,0.24
Rikke Lange,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Madam Lange,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Carl Tilfredshed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Lee,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rikke,0,0,0,0,3,0.05,3,0.01,3,0.05,0.02,0.05,0.01,0.03
Sands,0,0,0,0,4,0.08,4,0.02,4,0.08,0.08,0.21,0.01,0.03
Adelheid,0,0,0,0,33,0.82,95,0.69,33,0.82,0.33,0.87,0.21,0.62
Ida sfal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Mama,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Otto,0,0,0,0,10,0.23,17,0.12,10,0.23,0.12,0.32,0.01,0.03
Øtto,0,0,0,0,8,0.18,14,0.09,8,0.18,0.14,0.37,0.02,0.06
paany,0,0,0,0,4,0.08,4,0.02,4,0.08,0.1,0.26,0.0,0.0
b,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.13,0.0,0.0
Otto Bretton,0,0,0,0,6,0.13,8,0.05,6,0.13,0.12,0.32,0.0,0.0
Froken Ida,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
sorn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.0,0.0
blaa,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.01,0.03
grazies,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kruse,0,0,0,0,2,0.03,5,0.03,2,0.03,0.04,0.11,0.0,0.0
Beviis,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Hjelm,0,0,0,0,9,0.21,11,0.07,9,0.21,0.17,0.45,0.02,0.06
Gud,0,0,0,0,14,0.33,22,0.15,14,0.33,0.18,0.47,0.06,0.18
Nikolai,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Marthe,0,0,0,0,7,0.15,7,0.04,7,0.15,0.06,0.16,0.03,0.09
Lund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Maren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Froken Frank,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Bisted,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Kareth,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Mosters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stine,0,0,0,0,3,0.05,3,0.01,3,0.05,0.04,0.11,0.02,0.06
Niels,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Stakkel,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Emma,0,0,0,0,5,0.1,6,0.04,5,0.1,0.07,0.18,0.01,0.03
