source,target,timestamp
Alexander den Store,Homer,5
Bjarne,Pike,6
Jeanne,Jeanne de Lorraine,13
Impresario,Peter,16
Antonius,Musset,18
Ludvig,Napoleon,48
Bronce,Julius Cæsar,49
Alexander den Store,Julius Cæsar,49
Alexander den Store,Cæsar,49
Cæsar,eg,49
Christophe,Herman Wessels,51
L’,Savois,53
L’,autre,53
autre,monsieur,53
Monsieur,monsieur,53
Madame,Monsieur,53
Madame,autre,53
autre,l’,53
autre,l’,53
Savois,autre,53
Madame,Monsieur,54
Rocheforts,Rose,61
le sjyr,le sjøhr,91
L’assommoir,Zola,93
L’assommoir,x,93
Antonius,Sylvia Delaplanche,102
Antonius,Sylvia,102
Gutenberg,Madame Malaquin,104
Henri Rochefort,Madame Malaquin,104
Gutenberg,Henri Rochefort,104
Gutenberg,Madame Malaquin,104
Henrik Ibsen,Malaquin,111
August Strindberg,Henrik Ibsen,111
Malaquin,Wagner,113
Ibsens Hilde,Sylvia Delaplanche,115
Ibsens Hilde,Taffanels,115
Faust,Taffanels,115
Absinth,Malaquin,117
Absinth,Henrik Ibsen,117
Alcanter de Brahms,l’,118
Alcanter,Henrik Ibsen,119
Alcanter,l’,119
Henrik Ibsen,l’,119
G. Salandri,Jean Jullien,121
Villars,Villy,124
Hr. Strauss,Villy,124
Hr. Strauss,Lysistrate,124
Cor tombent,Savine,127
Alick Bollas,Savine,127
Alick Bollas,Hr. Cortambert,127
. Deschamps,Plumes,133
Antonius,quand ça,136
je suis la Muse des jeunes,mon pauvre Antonius,137
Verlaine,Violon,147
Verlaine,Violon,147
Verlaine,violon violonon,148
A. Cazals,Verlaine,148
Baudelaire,Deschamps,153
Baudelaire,Verlaine,153
Bibi,Verlaine,157
Bibi,Verlaine,157
Absinth,Paul Verlaine,158
Robert Bums,Robert Burns,164
Shelley,Verlaine,165
Simoune,Verlaine,169
Bibi,Verlaine,169
Napoleon,Verlaine,171
Paul Verlaine,cher,174
Frans,Verlaine,180
Frans,luifi,180
Deschamps,La Plumes,192
Kusk,Marchand de vin,193
Deschamps,Kusk,194
Paul Verlaine,Verlaine,196
Paul Verlaine,Verlaine,197
Guds,Verlaine,197
Chansonetter,Hr. Verlaine,199
Chansonetter,Verlaine,199
La Plumes,Verlaine,199
Les Gammes,Stuart-Merrill,202
Les Gammes,Merrill,202
Merrill,Roland,202
Roland,fean Carrere,202
Ivan Rambosson,fean Carrere,202
Adolphe Retté,Ivan Rambosson,202
Adolphe Retté,Stuart-Merrill,202
Merrill,Stuart-Merrill,203
Merrill,Verlaine,203
Gazais,Verlaine,206
Stendhal,Verlaine,209
Cazals,Verlaine,210
Cazals,Pour Mlle,210
Quelle fringale,Qui rappellerait le vampire De qui l,211
Antonius,Gazais,221
Antonius,Gazais,221
Villon,Villons,227
Evropas,Villon,230
Paul Verlaine,Villon,231
Jean Moréas,Paul Verlaine,233
Auguste Gazais,Bonjour monsieur,234
Cazals,Verlaine,236
Cazals,Sonnetor,236
Sonnetor,Verlaine,236
Cazals,Verlaine,236
Madame,Tambur,238
Paul Verlaine,Villon,244
Cazals,Paul Verlaine,246
Gustave Le Rouge,L’,247
L.,stundum lange,249
L.,stundum lange,249
P.,Paul Verlaine,250
P.,Verlaine,250
Quand il est furieux,Verlaine,250
P.,Paul Verlaine,251
P.,Verlaine,253
Sylvia,skraa,265
Lea,Rakel,274
LADISLAS,c ANTONIUS,277
Antonius,Ladislas,283
Antonius,Ladislas,283
Antonius,Ladislas,285
Antonius,Ladislas,285
Antonius,Ladislas,286
Antonius,Ladislas,290
Antonius,Ladislas,292
Antonius,Ladislas,292
Antonius,Ladislas,293
Antonius,Ladislas,300
Antonius,Ladislas,300
Antonius,Ladislas,303
Antonius,Ladislas,303
Antonius,Ladislas,304
Antonius,Ladislas,305
Antonius,Ladislas,306
Antonius,Ladislas,308
Isse,Ladislas,311
Antonius,Ladislas,312
Antonius,Ladislas,312
Antonius,Ladislas,312
Antonius,Ladislas,312
Antonius,Ladislas,312
Antonius,Ladislas,312
Antonius,Ladislas,314
Antonius,Ladislas,314
Antonius,Ladislas,317
Antonius,Ladislas,317
Antonius,Ladislas,318
Antonius,dus,318
Antonius,dus,318
Antonius,Ladislas,318
Antonius,Ladislas,321
Antonius,Ladislas,321
Antonius,Ladislas,321
Antonius,Ladislas,321
Antonius,Ladislas,322
Antonius,Ladislas,322
Antonius,Cæsar,322
Bonapartes,Cæsar,322
Arcs,Jeanne d,331
Antonius,Ladislas,332
Madame,Monsieur,334
Madame,Monsieur Antonius,334
Antonius,Monsieur Antonius,334
Antonius,Mefisto,335
Ladislas,Mefisto,335
Gretchen,Ladislas,335
Gretchen,Madame,335
Antonius,Madame,335
Antonius,Ladislas,335
Antonius,Ladislas,336
Antonius,Ladislas,336
Antonius,Madame,337
Ladislas,Monsieur Antonius,338
Antonius,Madame,340
Antonius,Ladislas,345
