Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
H. P.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
J. N.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anders Hjorth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mysting,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
theol. Mysting,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Brorsons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kingos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,5,1.0,5,1.0,5,1.0,0.71,1.0,0.08,1.0
Søren Busk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.32,0.45,0.0,0.0
Emil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.32,0.45,0.0,0.0
Jens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.32,0.45,0.0,0.0
Jakobs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.32,0.45,0.0,0.0
Dybsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.32,0.45,0.0,0.0
Haydns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Holm,0,0,0,0,2,0.25,2,0.25,2,0.25,0.01,0.01,0.01,0.12
Margrethe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
