source,target,timestamp
Helios,aarle,1
Amos,Guds,8
Amos,Dorkas,8
Guds,Rafael,9
Dorkas,Rafael,18
Rafael,liere,19
Amos,Rafael,19
Amos,Rafael,19
Djerwins,Rafael,21
Rafael,Torko,24
Rafael,Torko,24
Anne,Nains,30
Ruths,Torko,31
Rafael,Ruths,31
Amos,Rafael,31
Amos,Rafael,32
Amos,nn,38
Dorkas,Nains,40
Amos,Rafael,41
Amos,Ruths,41
liam,lians,43
Juda,l),45
Barrabas,Djerwin,46
Kain,Sirius,47
Amos,Rafael,53
Dorkas,livor,57
Amos,Dorkas,57
Aleksander,Filips,59
Aleksander,Darius,59
Antiochus Epifanes,Kong Antiochus,61
Johannes,Mattathias,70
Johannes,Simeons,70
Joaribs,Simeons,70
Johannes Chaddis,Simon Thassi,71
Eleazar Avaran,Simon Thassi,71
Eleazar Avaran,Jonathan Apfus,71
Pinehas,Simri,76
Jehova,Mattathias,80
Ananias,Asaria,85
Asaria,Misael,85
Jehova,Juda,89
Jeremias,Juda,96
Jeremias,Juda,96
Davids,Juda,97
Davids,Messias,97
Abrahams,Isaks,99
Isaks,Jakobs,99
Rafael,Ruth,101
Sirius,paany,104
Djerwin,Rafael,106
Rafael,Sirius,108
Rafael,Sirius,112
Bjørnens,Djerwin,118
Djerwin,Taalmod,123
Djerwin,Torko,124
Djerwin,lynsnart,133
Djerwin,Rafael,137
Djerwin,Sirius,137
Djerwin,Rafael,138
Sirius,Zora,145
Amos,Dorkas,147
Amos,Rafael,147
Joel,Rafael,147
Gud,Jehova,148
Jehova,Messias,148
Messias,Rafael,148
Amos,Rafael,151
Joel,Rafael,151
Amos,Dorkas,152
Dorkas,Gud,152
Gose,Gud,152
Nafi,Ruth,155
Rafael,Ruth,155
Nafi,Rafael,155
Col-Cose,Nafi,155
Col-Cose,Salum,155
Nehemias,Salum,155
Nafi,snild,156
Nafi,snild,156
Isaskar,Nafi,156
Col-Cose,Djerwin,160
Adam,Zobas,161
Samuel,Zobas,161
Samuel,Sara,161
Adam,Sara,161
Gud,Messias,165
Adam,Sara,168
Rachel,Rafael,173
Jakobs,Rachel,173
Eva,Jakobs,173
Josef,Marie,178
Col-Cose,Gud,179
Barrabas,orer,185
Col-Cose,Rafael,187
Cefeus,Col-Cose,193
Cefeus,Perseus,193
Cefeus,Perseus,193
Cefeus,Vega,193
Col-Cose,Johannes,200
Rafael,gry,204
Cose,Jehova,205
Herodes,Rafael,206
Col-Cose,Rafael,207
Col-Cose,Rafael,210
Col-Cose,Nafi,210
Malchias,Rafael,214
Iland,Kafi,218
