Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Creagton,0,0,0,0,24,1.0,152,0.8,24,1.0,0.38,1.0,0.42,1.0
Henrik III,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.11,0.0,0.0
Admiral Nelson,0,0,0,0,5,0.17,5,0.02,5,0.17,0.08,0.21,0.02,0.05
Nelson,0,0,0,0,3,0.09,3,0.01,3,0.09,0.05,0.13,0.0,0.0
Geofroy Saint Hilaire,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.11,0.05,0.12
Lamarcks,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.02,0.05
Charles Lyells,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
Darwins,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.02,0.05
Cuviers,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.11,0.05,0.12
Darwin,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.11,0.0,0.0
James,0,0,0,0,22,0.91,190,1.0,22,0.91,0.35,0.92,0.29,0.69
Kate,0,0,0,0,17,0.7,161,0.85,17,0.7,0.32,0.84,0.22,0.52
Flegma,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.11,0.0,0.0
James Folly,0,0,0,0,16,0.65,63,0.33,16,0.65,0.33,0.87,0.14,0.33
Folly,0,0,0,0,11,0.43,36,0.19,11,0.43,0.27,0.71,0.09,0.21
Villemoes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Patrick Hope,0,0,0,0,3,0.09,3,0.01,3,0.09,0.11,0.29,0.0,0.0
Bill,0,0,0,0,16,0.65,97,0.51,16,0.65,0.31,0.82,0.17,0.4
Hope,0,0,0,0,5,0.17,10,0.05,5,0.17,0.17,0.45,0.0,0.0
Dr. Creagtons,0,0,0,0,2,0.04,2,0.01,2,0.04,0.07,0.18,0.0,0.0
Bill Hope,0,0,0,0,8,0.3,16,0.08,8,0.3,0.23,0.61,0.02,0.05
Dr. Creagton,0,0,0,0,5,0.17,8,0.04,5,0.17,0.18,0.47,0.0,0.0
Matthews,0,0,0,0,10,0.39,53,0.28,10,0.39,0.27,0.71,0.04,0.1
Zenith,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Karl,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Frederik den,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.21,0.0,0.0
Admiral Hyde Parker,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.11,0.0,0.0
Frederik den Femte,0,0,0,0,2,0.04,2,0.01,2,0.04,0.05,0.13,0.0,0.0
James Pollys,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.21,0.0,0.0
Baadshagen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
dei-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Støren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Kate og,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Gud,0,0,0,0,3,0.09,3,0.01,3,0.09,0.11,0.29,0.0,0.0
Dick,0,0,0,0,6,0.22,26,0.13,6,0.22,0.2,0.53,0.0,0.0
Bill.,0,0,0,0,4,0.13,5,0.02,4,0.13,0.14,0.37,0.0,0.0
Spiger,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Gustave Thuret,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
livor Kate,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
oppebie Bills,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Mars,0,0,0,0,3,0.09,5,0.02,3,0.09,0.08,0.21,0.03,0.07
Creagton James,0,0,0,0,2,0.04,2,0.01,2,0.04,0.07,0.18,0.0,0.0
Martianer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Creagton de skibbrudnes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Martianerens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Vega,0,0,0,0,2,0.04,2,0.01,2,0.04,0.01,0.03,0.0,0.0
Venus,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.11,0.01,0.02
Aare,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.21,0.0,0.0
Aaren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Villieløs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Gulddalens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Dr. Creag-tons,0,0,0,0,2,0.04,2,0.01,2,0.04,0.06,0.16,0.0,0.0
Miss Kate,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Venus —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
