source,target,timestamp
Falk,Ix,26
Frøken Holk,vigjorde,30
Freja M.,Hr. Doktor,31
Gerda,Gerda Kleins,32
Gerda,Gud,32
Gud,véd,32
Henning,véd,32
Frøken Holk,Henning,32
Falk,Frøken Holk,35
Frøken Holk,Hr. Henning,35
Falk,Hr. Henning,35
Falk,Mathilde,37
Falk,Mathilde,44
Falk,Mathilde,47
H. P. Holms,Mathilde,48
Falk,Gud,51
Herbert Spencers,Spencers,52
Herbert Spencers,Spencers,52
Margrete,Papa,55
Margrete,Papa,55
Magda de,Papa,59
Magda de,ru Heiberg,59
Magda,ru Heiberg,59
Adolf,Magda,59
Frøken,Margrete,70
Cederstrøm,Frøken,70
Cederstrøm,Trampes,70
Cederstrøm,Trampes,70
Cederstrøm,Lucie Trampe,71
Cederstrøm,Margrete,71
Geert,Schumann,91
Frøken de Geert,Schubert,92
Brackes,foulards,96
Maggie,Oppens,98
Margrete,Marv,100
Cederstrøm,Margrete,102
Ask,Falk,104
Grete,Margrete,110
Gretchen,Ix,111
Falk,Maggie,114
Ix,Margrete,115
Carstens,Falk,118
Carstens,Ix,118
Carstens,Ix,118
Carstens,Falk,118
Falk,Gud,118
Falk,Gud,118
Følk,Papa,119
Falk,Ix,120
Mathilde,Sydamen,144
Mathilde,Otto,147
Mathilde,Otto,147
Falk,Mathilde,147
Lille Mathilde,Mathilde,155
Falk,lille Mathilde,159
Falk,Mathilde,172
Falk,Mathilde,178
Falk,Heinrich Heines,183
Gud,Heinrich Heines,183
Falk,Mathilde,187
Falk,Mathilde,190
Falk,Ix,209
Falk,Mathilde,215
Margrete Holk,Mathilde,215
Bilsted,Papa,217
Alette,Bilsted,217
Alette,Bilsted,217
Bilsted,Wolle,217
Ribers,Wolle,217
Alette,Ribers,217
Alette,Faders,217
Faders,Gud,217
Alette,Margrete,218
Adolf,Margrete,219
Adolf,Johan,219
Falk,Johan,219
Frøken Rode,Gud,220
Alette Bilsted,Margrete,221
Bilsted,Fader,223
Balkavaler Becks,Fader,223
Balkavaler Becks,Maggie,223
Falk,Margrete,225
Falk,Margrete,229
Falk,Ix,229
Siegfride,Thyra,233
Adolf,Thyra,233
Adolf,Margrete,234
Margrete,Snobber,234
Falk,Ix,235
Falk,Ix,235
Margrete,spurgteIx,239
Margrete,røken,245
Falk,Gud,246
Falk,Frøken Margretes,248
Doktor Falk,Frøken Margretes,248
Ask,Doktor Falk,248
Falk,Thune,255
Thune,West,255
Haagensen,West,255
Haagensen,Margrete,255
Margrete,Papa,257
Margrete,Papa,259
Papa,olk,259
Adolf,Margrete,264
Papa,lille Adolf,265
Falk,Margrete,269
Falk,Margrete,271
Falk,Margrete,279
Falk,Margrete,284
Ix,Papa,286
Carl Baggers,Papa,286
Carl Baggers,Paganinis,286
Falk,Margrete,293
Adolf,Falk,293
Adolf,Margrete,293
Falk,Margrete,293
Falk,Tue,294
Falk,Mathilde,296
Falk,Margrete,302
Falk,Margrete,305
Falk,Margrete,305
Falk,Helena,308
Falk,Margrete,319
Margrete,Mathilde,319
Falk,Palestrina,321
Godards,Margrete,324
Bendtsen,Margrete,342
Bendtsen,Frøken Holk,344
Ix,Margrete,346
Beethovens,Frøken Holk,347
Bendtsen,Frøken Holk,355
Bendtsen,Margrete,355
Adolf,Margrete,355
Frøken Holk,Frøken Schou,356
Falk,Margrete,358
Bendtsen,Rosa Haley,359
Eva,Rosa Haley,359
Madame Delord,Rosa Haley,360
Margrete,Papa,362
Falk,Margrete,363
Falk,Margrete,369
Falk,Margrete,371
Frøken de Geert,Margrete,373
Alette,Frøken de Geert,373
Alette,Margrete,373
Ix,Margrete,375
Falk,Margrete,381
Falk,Margrete,382
Falk,Margrete,383
Falk,Margrete,384
Ix,Margrete,389
Falk,Margrete,389
Falk,Ix,399
Ix,von Fail,399
Falk,Frøken Holk,402
Falk,Margrete,406
Falk,Margrete,409
Falk,Margrete,409
Falk,Ix,410
Falk,Gud,415
Falk,Margrete,415
Falk,Margrete,415
Adolf,Falk,415
Falk,Margrete,416
Falk,Margrete,418
Falk,Margrete,422
Margrete,Margrete Holk,425
Bendtsen,Margrete Holk,425
Bendtsen,Rosa Haley,425
Bendtsen,Margrete,426
Margrete Holk,Rosa Haley,428
Margrete,Rosa Haley,428
Madame Delord,Margrete,429
Ix,Margrete,432
Ix,Margrete,432
p. p. c.,phil. Ix,437
Bendtsen,Frøken Holk,442
Falk,pardon,444
Falk,Frøken Holk,444
Frøken Holk,Holk,444
Hr. Hansen,"Impressario,",457
Hansen,Hr. Hansen,457
Falk,Hansen,457
Falk,Frøken Holk,457
Frøken Holk,Holk,457
Goethe,Terperups,461
Abglanz,Hr. Terperups,466
Goethe,Hr. Terperups,466
