source,target,timestamp
Henriette Brommer,Schack,7
Hansen,Jensen,9
Jensen,Petersen,9
Petersen,Sørensen,9
Laps,Peter Holmstrup,11
Io,Mutter,12
Mutter,Therese,12
Flegma,Preisler,13
Hansen,Jette,18
Hansen,Poul,18
Jens,Sørensen,24
Schack,Snakkenborg,26
Preisler,Therese,28
Sørensen,X,29
Danton,Sørensen,29
Danton,Robespierrc,29
Jens Sørensens,Kirsten,30
Jens Peters,Kirsten,30
Jens Peters,Kirsten,30
Jens Peter,Kirsten,30
Jens Peter,Kirsfen,30
Kirsfen,Sørensen,30
Kirsten,Sørensen,30
Kirsfen,Kirsten,30
Kirsfen,Kirsten,30
Gud,Kirsten,30
Gud,Sørensen,30
Kirsfen,Sørensen,30
Kirsfen,Kirsfen Jens Peters,30
Bjørnstjerne Bjørnson,Kirsfen Jens Peters,30
Bjørnstjerne Bjørnson,Jens Peter,30
Jens Peter,Kirsten,30
Karen,Kirsten,30
Karen,Kirsten,30
Frøken Anna,Kirsten,34
Karen,Kirsten,34
Gud,Jens Peter,40
Frøken Anna,Hanne,41
Frøken Anna,Hanne,41
Hanne,Jens Peter,41
Hanne,Jens Peter,42
Hanne,Kirsten,42
Hanne,Kirsten,42
Hanne,Jesus,42
Hanne,Kirsten,43
Jens Peter,Kirsten,44
Gud,Jens Peter,46
Jens Peter,Merinos,46
L. 5.,Merinos,46
Kirsten Jens Peters,L. 5.,46
Jens Peter,Kirsten Jens Peters,46
Gud,Karen,55
Gud,Jens Peter,55
Jens Peter,Karen,55
Jens Peter,Karen,55
Daggry,Sørensen,60
Justitsraad Smith,Sørensen,60
Justitsraad Smith,Sørensen,60
Krogs,Sørensen,60
Arnes,Krogs,60
Arnes,Krogs,60
Blaalys,Krogs,60
Blaalys,Sørensen,60
Smith,Sørensen,61
Smith,Sørensen,61
Schack,Sørensen,61
Fedtballe,Schack,61
Fedtballe,Stensen,61
Herman,Kirsten Vaskerkone,63
Kirsten,Kirsten Vaskerkone,63
eanll,pimrm. Kristensen,70
Preisler,pimrm. Kristensen,70
Frøken Therese,Stensen,71
Karen,Preisler,78
Karen,Preisler,80
Karl,Krogs,84
Gud,Krog,85
Gud,Preisler,86
Lille Karls,Preisler,90
Gud,Krog,92
Gud,Krog,92
Gud,Jakob,94
Karen,Lille Karl,97
Karen,Krog,97
Gud,Krog,100
