Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Aage Vinther,0,0,0,0,6,0.19,7,0.04,6,0.19,0.17,0.35,0.13,0.26
Vandas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Frøken Vanda,0,0,0,0,2,0.04,3,0.01,2,0.04,0.03,0.06,0.0,0.0
Kancelliraad Vinthers,0,0,0,0,2,0.04,2,0.01,2,0.04,0.06,0.12,0.01,0.02
Aage,0,0,0,0,24,0.85,138,1.0,24,0.85,0.44,0.92,0.44,0.88
Vanda,0,0,0,0,28,1.0,122,0.88,28,1.0,0.48,1.0,0.5,1.0
Wessel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Eilers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Maries,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.17,0.0,0.0
Marie,0,0,0,0,4,0.11,11,0.07,4,0.11,0.17,0.35,0.0,0.0
liam,0,0,0,0,4,0.11,6,0.04,4,0.11,0.12,0.25,0.07,0.14
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
ifjor,0,0,0,0,2,0.04,2,0.01,2,0.04,0.12,0.25,0.0,0.0
Van-das,0,0,0,0,2,0.04,2,0.01,2,0.04,0.06,0.12,0.04,0.08
Palen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
lians,0,0,0,0,2,0.04,2,0.01,2,0.04,0.02,0.04,0.04,0.08
hnn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,2,0.04,2,0.01,2,0.04,0.1,0.21,0.0,0.0
Anna —,0,0,0,0,2,0.04,2,0.01,2,0.04,0.06,0.12,0.04,0.08
Hr. Aage Vinther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Niels,0,0,0,0,7,0.22,9,0.06,7,0.22,0.18,0.38,0.11,0.22
Petersens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Annas,0,0,0,0,2,0.04,2,0.01,2,0.04,0.07,0.15,0.0,0.0
Glenten,0,0,0,0,2,0.04,2,0.01,2,0.04,0.07,0.15,0.0,0.0
Anna,0,0,0,0,10,0.33,16,0.11,10,0.33,0.3,0.62,0.04,0.08
ovei-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Holberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Niels Klem,0,0,0,0,14,0.48,36,0.26,14,0.48,0.29,0.6,0.24,0.48
Bravo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Holger Funch,0,0,0,0,5,0.15,7,0.04,5,0.15,0.21,0.44,0.01,0.02
Funch,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
liun,0,0,0,0,3,0.07,3,0.01,3,0.07,0.16,0.33,0.0,0.0
Johan Ludvig Heibergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Klem,0,0,0,0,5,0.15,11,0.07,5,0.15,0.21,0.44,0.01,0.02
Kellner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Anna staa,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.17,0.0,0.0
Dril,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.17,0.0,0.0
ban,0,0,0,0,2,0.04,3,0.01,2,0.04,0.12,0.25,0.0,0.0
ua,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Anne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Jaquetten,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
Ida Hansen,0,0,0,0,2,0.04,2,0.01,2,0.04,0.02,0.04,0.04,0.08
Aage Vinther Vandas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Ida,0,0,0,0,2,0.04,2,0.01,2,0.04,0.12,0.25,0.0,0.0
Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
ove,0,0,0,0,2,0.04,2,0.01,2,0.04,0.12,0.25,0.0,0.0
Hiin,0,0,0,0,2,0.04,2,0.01,2,0.04,0.06,0.12,0.04,0.08
paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
lian,0,0,0,0,2,0.04,2,0.01,2,0.04,0.12,0.25,0.0,0.0
Kancelliraad Vinther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Kafe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Nids,0,0,0,0,2,0.04,2,0.01,2,0.04,0.08,0.17,0.0,0.0
Hr. Vinther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
allehaande,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Petersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Langben,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
