source,target,timestamp
Glerup,Ole Daugaard-Christensens,1
Ole,Ole Daugaard-Christensens,1
K.,Ole,1
K.,Kong Meneliks,1
Heibergs,Hertz,2
Hertz,Lauritz Glerup,2
Glerup,Lauritz Glerup,2
Glerup,Lauritz Glerup,2
Amalie Mynster,Glerup,3
Amalie Mynster,Lauritz,3
Frøken Glerup,Nathalie Glerup,12
Amalie,Lauritz,17
Glerup,Tusch,22
Ole Daugaard-Christensen,Tusch,22
Holger Wengel,Rangvild,23
Christian den,Holger Wengel,23
Ole,Ole Daugaard-Christensen,24
Ole,allenfals,24
Martin,Ole,34
Martin,Selma Kragh,34
Ole,Selma Kragh,34
Glerup,Ole,34
Holger Wengel,Ole,35
Holger Wengel,Rangvild,35
Holger,Rangvild,35
Holger,Pantalons,35
Holger,Rangvild,36
Barthel,Rangvild,37
Barthel,Ole,43
Holger,Ole,43
Felix,Felix Mikkelsen,45
Felix,vips,45
Claudia Jensen,Kritici,49
Claudia Jensen,Urban Bay,50
Spe,Urban Bay,50
R. R.,Richard Røhling,51
Glerup,Ole,52
Ole,Røhling,52
Kraghs,Ole,53
Peter-Otto,Richard,54
Kraghs,Selma,56
Ole,Richard Røhling,57
Claudia Jensen,Richard,60
Ole,Richard,60
Martin,Martin Kragh,62
Bonmot,Selma,68
Kragh,Selma,68
Gud,Kragh,68
Martin,Martin Kragh,69
Martin,Selma Kragh,69
Else Glahn,Kragh,71
Else Glahn,Frederik,71
Else,Frederik,76
Kragh,Ole,80
Frederik,Kragh,85
Else,Frederik,86
Frederik,Richard,86
Gud,Richard,86
Gud,Selma,86
Martin,Selma,86
Martin,Ole,86
Martin,Selma,88
Martin,Selma,88
Kragh,Ole,89
Else,Gud,92
Daugaard-Christensen,Ole,95
Daugaard-Christensen,Kragh,95
Glerup,Ole,96
Else,Kragh,98
Else,Ole,99
Kragh,Ole,103
Else,Frederik,107
Hr. Christensen,bøst,112
Else,Lauritz,115
Else,Frederik,115
Else,Ole,116
Malle,Nalle,119
Else,Nalle,120
Else,Frederik,120
Daugaard-Christensen,Frederik,120
Hilledød,Ole,121
Martin Kragh,Ole,121
Martin,Ole,126
Else,Ole,128
Else,Frederik,128
Frederik,marschere,128
Hr. Glerup,Ole,131
Ole,Rangvild,132
Else,Frederik,140
Frederik,Ole,140
Else,Nalle,144
Maanen,Valdemar,147
Else,Gammelmands,148
Else,Malle,148
Lauritz,Nalle,150
Ole,son,160
Else,Ole,163
Glerup,Ole,169
Else,Glerup,169
Gud,Hr. Olsen Christensen Daugaard,178
Christensen Olsen,Malle,179
Christensen Olsen,Else,179
Else,Nalle,179
Nalle,Ole.,179
Else,Ole,180
Else,Ole,182
Hr. Olsen Daudi Christensen,Søster Malle,183
Hr. Olsen Daudi Christensen,Nalle,183
Holger,Ole,188
Glerup,Mozart,189
Haydn,Mozart,189
Haydn,Rossini,189
Rossini,Wagner,189
Tschaikowsky,Wagner,189
Ole,Tschaikowsky,189
Holger,Ole,189
Holger,Ole,189
Ole,Rangvild,190
Glerup,Ole,191
Glerup,Mozart,191
Holger,Rangvild,192
Holger,Ole,192
Glerup,Rangvild,193
Glerup,Ole,194
Kragh,Ole,194
Glerup,Holger,195
Birthe,Glerup,198
Glerup,Ole,199
Birthe,Ole,201
Elsa,Ole,203
Elsa,Ole,203
Frederik,Ole,203
Birthe,Frederik,203
Hr. Daugaard-Christensen,Ole,204
Else,Ole,205
Glerup,Ole,209
Ole,Taa,213
Malle,Taa,213
Frederik,Malle,213
Else,Ole,214
Glerup,Ole,214
Malle,Nathalie,216
Else,Ole,218
Else,Ole,221
Else,Ole,223
Lauritz,Malle,224
Gud,Nalle,225
Frederik,Ole,226
Lauritz,Nalle,228
Lauritz,Malle,229
Gabrielsen,Malle,229
Lauritz,Nalle,233
Madame,Ole,235
Malle,Ole,237
Malle,Nalle,237
Glerup,Ole,238
Lauritz,Malle,243
Else,Frederik,244
Frederik,Ole —,245
Glerup,Ole,247
Haydn,Ole,251
Nalle,Ole,252
Dagmar,Rangvild,253
Holger Wengel,Rangvild,253
Dagmar,Holger Wengel,253
Dagmar,Ole,258
Dagmar,Wengel,268
Dagmar,Malle,269
Holger,Ole,272
Else,Rangvild,273
Else,Rangvild,273
Glerup,Holger,278
Barthel,Claudia Jensen,279
Barthel,Peter-Otto,279
Peter-Otto,Richard Røhling,279
Martin og,Richard Røhling,279
Martin og,Selma Kragh,279
Ole,Richard,280
Martin,Ole,283
Claudia,kjære,289
Claudia,Ole,289
Hr. Glerup,Ole,289
Glerup,Ole,293
Glerup,Martin Kragh,293
Martin,Martin Kragh,293
Frøken Knudsen,Selma,294
Frøken Knudsen,Ole,294
Glerup,Kragh,295
Else,Ole,296
Else,Ole,299
Barthel,Martin,302
Claudia,Martin,302
Claudia,Selma,302
Glerup,Wagner,303
Chopin,Dagmar,304
Glerup,Malle,305
Malle,Nalle kjær,305
Lauritz,Nalle,306
Buhra,Nalle,306
Glerup,Ole,307
Else,Ole,307
Else,Richard Røhling,307
Kragh,Richard Røhling,307
Frk. Nathalies,Kragh,307
Frederik,Frk. Nathalies,307
Claudia,Frederik,307
Claudia,Ole,307
Else,Nalle,311
Kragh,Nalle,311
Dagmar,Kragh,311
Dagmar,Rangvild,313
Frk. Lundager,Gert Westphaler,314
Bohave,Svend Kjertmann,316
Glerup,Ole,318
Ernst Meiers,Glerup,318
Kehraus,sorn,320
Frk. Lundager,sorn,320
Frk. Lundager,Ole,320
Else,Ole,320
Else nonchalant,Onkel Lauritz,322
Else,Ole,323
Else,Lorenzo Egleruppe,323
Else Glahn,Ole,325
Else Glahn,Richard Røhling,325
Ole,Richard Røhling,325
Lauritz,Malle knarvornt,328
Glerup,Ole,331
Glerup,Ole,331
Else,Ole,331
Else,Frederik,331
Glerup,Ole,333
Glerup,Vermuth,333
Ole,Vermuth,333
Glerup,Ole,340
Ole,Simmelkjær,341
Else,Ole,342
Glerup,Simmelkjær,343
Glerup,Ole,343
Ole,Simmelkjær,344
Simmelkjær,anderswo engagirt,345
Glerup,Simmelkjær,349
Else,Ole,354
Else,Frederik,356
Frederik,Ole,356
Else,Ole,356
Lauritz,Nalle,357
Else,Frederik,359
Else,Frederik,362
Ole,bøst,365
Frederik,Ole,375
Else,Frederik,375
Else,Gyngens,375
Harems,Ole,381
Else,Ole,388
Else,Pi'k.,388
Nathalie Glerup,Pi'k.,388
Else,Glerup,390
Frederik,Lauritz,391
Lauritz,Neveu Frederik,391
Glerup,Simmelkjær,392
Frederik,Nalle,394
Else —,Ole,395
Ole,Simmelkjær,395
Else,Frederik,396
Frederik,Ole,396
